o_bb,o_box,o_pb
1.4891367110694885e7,1.4891379083250046e7,1.4891358340660095e7
7.171691847066879e6,6.815915372167587e6,7.171683263102846e6
6.927294565702438e6,6.92760029359436e6,6.9276002885398865e6
1.271991221118164e7,1.4232619664813995e7,1.4640775050079346e7
4.206259901929066e6,4.206259901508437e6,4.206259901508439e6
7.225053570201874e6,8.166117226985931e6,1.003779542372322e7
8.951898414201736e6,9.349127068611145e6,9.349106042608261e6
1.1855259757095337e7,1.3433110492521286e7,1.397820408049202e7
8.399028428972244e6,1.0044915647607803e7,1.1164600534917831e7
1.2244895208808899e7,1.2244979501840591e7,1.2244895208801795e7
5.725177122531891e6,5.725177121957779e6,5.725177121957229e6
5.347021284334183e6,6.371235417844772e6,6.371235417843506e6
5.4699967183532715e6,5.470108431907654e6,5.469996717803955e6
6.647000743156433e6,6.647000743154526e6,6.647000743157128e6
1.150955777451706e7,1.15096155848732e7,1.1509557773368236e7
6.059481571575165e6,6.27977176351738e6,6.27977176351738e6
9.797805689954758e6,9.797865748720169e6,9.797805689956665e6
8.903825371110916e6,9.551809973270416e6,9.551727231494904e6
6.882659196880341e6,7.444940970588684e6,7.444940970587479e6
9.04247067615509e6,9.89598395608139e6,9.970467895053666e6
5.1196793980933055e6,5.304478258981705e6,5.3044154257011125e6
1.138182462259674e7,1.1381832153097153e7,1.1381824621459961e7
1.0243115358625412e7,1.0704880969190598e7,1.198378774947548e7
4.89747621557045e6,4.897507337392807e6,4.897470241548538e6
9.44718078364563e6,9.800545756219864e6,9.918553328697205e6
1.0352055989181519e7,1.181386898496437e7,1.203738653762436e7
8.426216322444916e6,8.3129276922569275e6,8.42621632244242e6
9.00470435845375e6,9.134766085199993e6,9.284409031633776e6
1.0524727644931741e7,1.052521860232544e7,1.0525148528290931e7
7.621711055643082e6,7.6473017570819855e6,8.083331429672241e6
7.972300257032394e6,8.539426799819946e6,8.539426799819946e6
8.362674179901123e6,8.713764825845718e6,9.655186119813919e6
1.1071870943202972e7,1.1142536278894424e7,1.1142536278893933e7
7.251561588139024e6,8.737142997370306e6,8.737108426641867e6
4.685396100999832e6,4.685547487098694e6,4.685396100997925e6
4.700502803321838e6,4.700502803321838e6,4.700493940254163e6
9.062852531080246e6,9.063264006652832e6,9.063242943489075e6
8.812774818410873e6,8.81338401188469e6,8.813295516672134e6
1.175082346481514e7,1.2024590461837769e7,1.202459046183568e7
8.422179806821823e6,8.422179806821823e6,8.42217980682373e6
8.522315378759027e6,8.522315378759038e6,8.522315378759857e6
7.352439872261047e6,6.536585805208206e6,7.934127559170491e6
4.709669584590912e6,4.7096695845890045e6,4.709669584587097e6
7.332471476764679e6,8.696249865911484e6,9.9369251814003e6
1.3212414771745682e7,1.32123562229805e7,1.3212310319698334e7
9.820138167531967e6,1.086737178447342e7,1.0867344935045242e7
4.807820278541565e6,4.807817315299988e6,4.8078054623486735e6
1.4656819915756226e7,1.4658116969774246e7,1.4658063404109955e7
3.177201161593691e6,3.3025668552029096e6,3.3025668552029096e6
8.883818663536072e6,9.471655336471558e6,9.471655336471824e6
5.82854870438385e6,5.948062868192673e6,5.948062868192673e6
5.613011275323868e6,5.613076718040466e6,5.613011275323657e6
1.0579000425361633e7,1.0579868777299881e7,1.057986684829373e7
7.617457116176543e6,8.534754412704468e6,9.063109725918088e6
1.064639845205307e7,1.048729269665718e7,1.0646902577906607e7
6.281128376861572e6,6.280675702818809e6,6.616895236255804e6
1.1354739626829147e7,1.2371584985773087e7,1.3299480198179245e7
8.4656815382061e6,9.05955873169136e6,9.059502671924591e6
5.805115601268768e6,5.838535596185684e6,5.8385010160655975e6
4.666763458072662e6,5.673624207265854e6,5.925730072851181e6
6.520576489374161e6,6.520640576953888e6,6.520576489374833e6
1.0767856812145233e7,1.0889305401350021e7,1.0889286614181958e7
1.0143404976280212e7,1.1872089555271149e7,1.1872069312753677e7
5.723922602365494e6,6.412330046806335e6,6.412287868049622e6
9.694397763657108e6,9.69556248501422e6,9.695556193405092e6
5.891064701505661e6,6.822753534154892e6,6.822753534152985e6
3.5586478920326233e6,3.592275984157471e6,3.592268331854863e6
5.175058188570023e6,5.175058188571973e6,5.1750581885719765e6
8.0336678184661865e6,8.033670346254349e6,8.033667818468094e6
4.756214322214127e6,4.756214321738248e6,4.756214321737279e6
8.450916636680603e6,8.451403831151962e6,8.451391593565198e6
1.1560300618600845e7,1.1560341162757874e7,1.1560300617444992e7
8.168945966125488e6,1.0003188263269424e7,1.0003188262269974e7
5.043616891838755e6,5.041360236175537e6,5.041055630456432e6
8.310325715509415e6,8.290391842903137e6,8.310322833024979e6
4.892766772943793e6,4.892766772943793e6,4.892766772943794e6
9.929176063043594e6,1.082851756480217e7,1.0828511820035934e7
4.348956482311249e6,4.677786031639648e6,4.677722188667297e6
5.824838515357971e6,6.116783503627777e6,6.116783503016975e6
1.52814070086689e7,1.5281443169002533e7,1.5281396961212158e7
7.060334777769392e6,7.0603347777694e6,7.060334777769854e6
5.09896762959671e6,5.097782147535324e6,5.097720388415648e6
8.499375977098465e6,8.49953990032196e6,8.49953990032196e6
7.7861736339965835e6,8.649410300024897e6,8.649403543211471e6
7.238010221656799e6,7.345713809141159e6,7.345713809141159e6
9.481460202842712e6,9.735091684724808e6,9.735091684724562e6
4.4321606662574895e6,4.742030942527307e6,4.742047867549896e6
7.311942232103348e6,7.81262852412796e6,7.812614286428452e6
8.73820218270874e6,9.836437684163455e6,9.836358774836523e6
9.811511449834824e6,1.0286872867332458e7,1.0286872867332458e7
1.3366887837415695e7,1.4123095688358307e7,1.4123056428770764e7
1.1405274314144135e7,1.1621574942083359e7,1.1621465932824321e7
9.797570974279404e6,1.0313577368083954e7,1.0423290630733911e7
8.98115489901352e6,9.674159055129923e6,9.67415905512883e6
6.701796504653931e6,6.902221765168123e6,6.9022217651681965e6
9.623914342222214e6,9.62383953881073e6,9.623685248993153e6
6.032220755764008e6,5.656250630535126e6,6.032216846975327e6
8.730719803503828e6,8.847573848892212e6,9.22554980870349e6
6.708707574262619e6,6.7088799611890055e6,6.708707574260712e6
7.042516890880585e6,7.437914397109985e6,7.437910283639908e6
8.575972950126648e6,8.575974351345062e6,8.57597295012474e6
6.931835074064255e6,7.399634689769745e6,7.489014215362549e6
1.2427011287628174e7,1.3103912263988495e7,1.3103912263987202e7
7.659817230195494e6,7.660233561400668e6,7.660203592368158e6
1.1176491314243317e7,1.3330894904367447e7,1.3330894905704498e7
9.39548594970131e6,1.0037878802938461e7,1.0037859386663206e7
1.2615937607627869e7,1.3963010960359573e7,1.3962619448417835e7
1.357539668844986e7,1.355784358736295e7,1.3575396687094316e7
1.2533323510614395e7,1.511599674206543e7,1.5115983438409427e7
1.1783401117444992e7,1.2615465392292023e7,1.3226677903175354e7
6.593748504238129e6,6.58990482059288e6,6.589854654670715e6
1.0493556535215378e7,1.0160103982509613e7,1.0705886291224474e7
8.532170166707037e6,8.986327341344612e6,8.986311013746351e6
6.068479913005829e6,6.999953473379135e6,6.999953473377228e6
8.865172839540482e6,9.334690050403595e6,9.334690050405502e6
9.667145740556717e6,9.667145740556717e6,9.667145740558624e6
1.1165484779203415e7,1.261688485347557e7,1.2616824643877925e7
1.40713779468956e7,1.3817429826522827e7,1.4562197921009064e7
1.0167753589862823e7,1.2794539181221008e7,1.2794539179361686e7
1.0998107846401215e7,1.2523766468305588e7,1.2523763973594666e7
6.791026183956191e6,6.791122898549671e6,6.791025038932401e6
6.911733158527374e6,6.911733158525467e6,6.911733158525423e6
9.777187581303805e6,9.777989634855678e6,9.77797819549179e6
1.245677353684616e7,1.2096724502679825e7,1.3750180077644937e7
7.067493696094513e6,8.079024793531418e6,8.363468256866455e6
1.2052613546073914e7,1.2835478036046982e7,1.2835419051361084e7
5.608958776454926e6,5.608985881528854e6,5.60895877645491e6
5.837698062980652e6,6.467498686172485e6,6.467459699142456e6
9.40148962502861e6,1.0975215820562363e7,1.0975188425085675e7
6.987173337242126e6,6.987173337242126e6,6.987173337244034e6
5.637350688343048e6,5.886186248176575e6,6.91301357375145e6
8.963824241247177e6,1.0551285534347534e7,1.0652727042337418e7
7.953704448705673e6,7.95373926417923e6,7.953704447910309e6
3.8618865599098206e6,3.861873504529953e6,3.8618735045284852e6
1.4333612885820389e7,1.433406230050087e7,1.4333612884386063e7
8.355170396211624e6,9.033760552566528e6,9.033733658042908e6
3.754168999653507e6,3.754174721745492e6,3.7541689996528625e6
6.7614217266635895e6,7.1980078609371185e6,7.198007135559082e6
9.12188716106224e6,9.772833856082916e6,1.0240567654745102e7
8.291917710684903e6,8.292167018140793e6,8.291917710683803e6
1.2736477142433167e7,1.2737461250871658e7,1.2737436832283244e7
9.54102455598259e6,1.0217956852560043e7,1.0217956808696747e7
9.461942981769562e6,9.462101542345047e6,9.461942981769562e6
9.53823559604454e6,1.0613963347797394e7,1.0613963347796887e7
7.603371381557465e6,8.092690167900816e6,8.09269016790222e6
6.193175204948425e6,6.78353890555191e6,6.7835148175525665e6
6.800904657567978e6,7.129963287208557e6,7.129963286495209e6
8.590680182878494e6,9.493253375108719e6,9.493253375110626e6
7.239806615118027e6,8.627849774524689e6,8.627814018238068e6
1.5562253339321136e7,1.6155338383958817e7,1.6232975825651169e7
4.344319924253464e6,4.695842124666214e6,4.695798997310638e6
5.815603389778137e6,5.937600409706116e6,5.937582532818337e6
9.434050700901031e6,1.0200760572502136e7,1.0200760571480684e7
4.055426372454308e6,4.0554263724535936e6,4.055410737293195e6
1.0978495343177795e7,1.0979618132604599e7,1.0979587514561685e7
9.266939824264526e6,9.266999528856277e6,9.266939824264526e6
9.253077642829895e6,9.996667204999506e6,9.996640471687702e6
1.1011023022408098e7,1.101124216554717e7,1.101119133792305e7
5.016230938274368e6,4.698600076177597e6,5.016223412218094e6
5.982058094364166e6,5.864500459781647e6,6.418231933265686e6
1.341757222842598e7,1.3417404347421646e7,1.3417377552530289e7
1.3594012321418762e7,1.3823053495950699e7,1.3823052608019628e7
4.206854613349449e6,4.206869353158133e6,4.206854613350019e6
1.247717189356041e7,1.2841449010095596e7,1.3387331078598693e7
5.432113359193802e6,5.431591465452194e6,6.069757634893417e6
1.5264904667901993e7,1.660460519748497e7,1.6604574940299988e7
1.0211505171195917e7,9.787302592846742e6,1.0211497997584874e7
9.892784456001282e6,1.034232065359497e7,1.0719812773937311e7
7.292768110193253e6,7.292844820798874e6,7.292768109465383e6
1.3838846339197159e7,1.3839351849777222e7,1.383932924208285e7
6.443978505582809e6,7.077836160829544e6,7.181378664838791e6
7.478868170057297e6,7.758730784410477e6,7.758714109600067e6
7.615478054594718e6,7.615775527493129e6,7.615774566406161e6
6.762311052398682e6,6.762311052398682e6,6.762311052400589e6
1.2271999551818848e7,1.2272897873012543e7,1.2272556177884774e7
1.026885437236023e7,1.2300152074996948e7,1.3474966146771489e7
4.463540268232346e6,4.463538565044403e6,4.4635365879879e6
7.506175960195541e6,7.678510730506897e6,7.678495290523529e6
5.771457669963062e6,6.042639541864395e6,6.096316246693806e6
3.3799065058784485e6,3.3800118905715942e6,3.3799065058784485e6
5.385118133836746e6,5.446737547206879e6,5.446729568645477e6
6.549724868114471e6,7.732350800338745e6,7.73235080033493e6
5.981439621915817e6,6.0295454423446655e6,6.029545359422684e6
1.097664176281929e7,1.097665859377098e7,1.0976641762819733e7
1.1465983596151352e7,1.205360977236557e7,1.2053608085054591e7
1.1072107458560944e7,1.1301970774204254e7,1.1531940556036834e7
1.2202374174625397e7,1.3648610781539917e7,1.4338897537389755e7
7.429009185201645e6,8.429496588563919e6,8.429453303578006e6
9.060502834322464e6,1.0335266925182343e7,1.0335265321411133e7
7.337098717253487e6,7.956136651972239e6,7.956095259182546e6
1.1865164181062698e7,1.3217393730201721e7,1.4761964540966034e7
4.995353143276215e6,4.995353143278122e6,4.995353143280029e6
5.825554039260464e6,5.82555403925972e6,5.825554039261955e6
8.818233464878082e6,1.0285138449037552e7,1.0285138449040428e7
5.145530430393998e6,5.145599128592376e6,5.145530430393879e6
7.168897057657242e6,7.95203152677536e6,7.952005453317642e6
7.37963417407608e6,7.521224176710129e6,7.923198736005783e6
1.1957175669870377e7,1.1957801897174835e7,1.1957793474335907e7
1.3027796784795761e7,1.302778985751152e7,1.3027741295831852e7
1.1267093326375961e7,1.1267972119344711e7,1.126793995174001e7
1.6612287289827347e7,1.6445431303777695e7,1.6614155584310712e7
1.0660640040670177e7,1.0660691273181697e7,1.0660636670576107e7
8.8721514366436e6,9.27107952101255e6,9.271079521011353e6
7.698545038070679e6,8.013884141487122e6,8.013817435346603e6
1.2219985107597351e7,1.1974022590459824e7,1.2220891024235573e7
5.166652238979526e6,5.1650234066121895e6,5.165009558593485e6
6.735005111135483e6,6.735011329456329e6,6.735005111135483e6
1.1077257037935257e7,1.209153798563385e7,1.2091537791156273e7
8.481212879009554e6,9.111034721808227e6,1.0500823257111352e7
7.198375549428216e6,7.532816571606738e6,7.532816571608439e6
8.319366592689514e6,8.319441362859726e6,8.319366592689514e6
9.212887854629517e6,8.713876946741104e6,9.83287129461101e6
9.794888879907608e6,9.752920110017776e6,1.0763470321067693e7
1.3321545030504227e7,1.3322854501565933e7,1.3322769232754303e7
5.582157745998383e6,5.734001573246002e6,5.73400157324791e6
6.188446059898376e6,6.188446952867508e6,6.188446059898376e6
5.414934632595789e6,5.41493463259697e6,5.414934632595778e6
6.448476609615326e6,6.179286447164932e6,6.561644543819404e6
1.1822360203224182e7,1.2667963280460358e7,1.2667873194927216e7
9.175204371435165e6,9.56103615025711e6,9.560989027259827e6
5.504282229429245e6,5.559438427913666e6,5.559419080386704e6
8.143011410874336e6,8.384680014031814e6,8.38468001486969e6
1.2537829696353912e7,1.2892708577529907e7,1.2892551414201736e7
1.2486209273460284e7,1.2486241022865055e7,1.2486209274709702e7
9.676257032714851e6,1.0055792374887045e7,1.0055792374883335e7
6.367641808433533e6,6.367665657058716e6,6.367641808433756e6
1.3533771442012787e7,1.3393605130384445e7,1.427461066944052e7
1.1640858874019623e7,1.2644910199012756e7,1.3518257338819504e7
6.9089615561237335e6,7.350878458936691e6,7.350800331645966e6
6.303508641111374e6,6.303455091144562e6,6.303445428083705e6
6.845828752329285e6,7.477670555430639e6,7.477554407381109e6
1.2968332181310654e7,1.3366468209043503e7,1.3366465714850452e7
4.359239963840485e6,4.408387788354874e6,4.665049271266937e6
8.049276276878357e6,1.0102166340522766e7,1.0102166340522766e7
1.6489037567129135e7,1.6335845481742859e7,1.6489037567124002e7
1.0033772710850265e7,1.0155842703936944e7,1.0403500905528784e7
1.1464488599033356e7,1.2634913242107391e7,1.263491219102478e7
1.1192661167022705e7,1.1192948134433746e7,1.1192897345742224e7
5.619499216737781e6,5.737037895579081e6,5.737037895579081e6
1.0943157863424301e7,1.0944389075241089e7,1.0944389075244201e7
5.153667830654144e6,6.0197918034935e6,6.0197918034935e6
8.825419330646515e6,8.825430547409058e6,8.825419329761505e6
4.463633646091461e6,4.752943033527374e6,4.752619932380676e6
1.2422599062753677e7,1.4290785086277008e7,1.4902801389996642e7
3.6325870195367928e6,3.632587019536972e6,3.632587019536972e6
7.993185106498718e6,8.92626236432457e6,8.926246587789536e6
8.56565643434906e6,8.693321995689392e6,8.693296965240479e6
9.056046499298096e6,9.828219644590378e6,9.935828939719237e6
1.4509831149950027e7,1.451105732897377e7,1.451082329927036e7
1.4670489698713303e7,1.3853478859928131e7,1.4670842039600376e7
1.2490543612298965e7,1.4525283587848663e7,1.4525224911788478e7
9.916177697601954e6,1.0405195988641739e7,1.0992768037050115e7
3.8780040195655823e6,3.878006856716156e6,3.8779535543250907e6
5.340085047983932e6,7.076435234130859e6,7.076435234130859e6
8.326141440170288e6,8.186131178375244e6,8.60711802756691e6
1.0103141689593494e7,1.0103702410198212e7,1.010366522319305e7
1.1933708426233292e7,1.214922116763115e7,1.2149211026792526e7
1.2792025885978699e7,1.2892699526456833e7,1.391863598942452e7
8.012373243927002e6,8.012879478225708e6,8.012849363998413e6
4.0246145538082123e6,3.9293027407455444e6,4.024602444126129e6
6.843938927240372e6,6.952385273025038e6,6.952385273025798e6
8.874505630111694e6,8.593174045646667e6,9.322074016584396e6
1.0479058163780212e7,9.903486226530075e6,1.0480489298069e7
5.995701011104584e6,6.212021987421036e6,6.212019174193123e6
9.772151159624103e6,9.913419886211587e6,9.913407544041704e6
1.0664565285861969e7,1.178835289953041e7,1.1788348337290037e7
1.1339356257070541e7,1.1339410285488129e7,1.1339356258205414e7
5.1902182030239105e6,6.014676005914688e6,6.0146057841809485e6
7.591734262224197e6,8.049035950868607e6,8.049010644235611e6
4.474443229865374e6,4.47444322986597e6,4.474443229864167e6
1.0133734719463348e7,9.961335648925781e6,1.0133724465335846e7
9.318097150953293e6,9.40136262405014e6,9.401361009277344e6
