instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
1,38598,146,1,3600.113,525.097,7.583,1.0,3.157882270452604e7,2.8213956585346863e7,3.1578822704526052e7
10,36276,162,1,3600.052,3600.021,8.961,0.6999999999999993,3.929303668374655e7,3.4088784928598605e7,3.9293036683746554e7
11,27315,162,1,3600.168,3600.051,11.261,1.1666666668833443,4.171479950721085e7,3.4608948131060906e7,4.171479950721086e7
12,28029,144,1,3600.038,3600.046,12.112,1.3000000000000007,3.422704426971655e7,2.9248694610038906e7,3.422704426971655e7
13,s,127,1,i,3600.036,9.77,2.700000000370011,a,3.1726851293557618e7,3.812221436565347e7
14,27756,143,1,3600.102,1360.091,11.869,0.38461538461537614,2.5331340748702675e7,2.2823380252530947e7,2.533134074870268e7
15,28330,145,1,3600.073,3600.043,12.646,1.5999999999999979,2.587723990822541e7,2.3483434457919195e7,2.5877239908225417e7
16,32436,186,1,3600.09,3600.034,10.266,1.999999999999993,3.5849211871996656e7,3.0972785926696155e7,3.59810071678156e7
17,s,123,1,i,3600.022,7.691,3.416666666666658,a,3.87618864782469e7,4.77170899449869e7
18,28130,120,1,3600.164,3600.034,12.801,4.25,3.6103378518716484e7,3.147477043070249e7,3.6103378518716484e7
19,37248,164,1,3600.124,1289.148,10.269,0.09090893128373523,2.6935560185444992e7,2.5099116611577287e7,2.6935560185444992e7
2,37752,196,1,3600.001,3600.022,7.678,0.6666666668333363,3.838101306184838e7,3.5720946869120374e7,4.205438996369476e7
20,55931,107,1,3600.077,190.535,8.961,0.44444444444444464,2.0933591986163903e7,2.0410264073730253e7,2.1195255892731093e7
21,35175,150,1,3600.027,3600.022,9.189,2.4999999999999836,3.9341699563468225e7,3.409621852999443e7,3.934169956346823e7
22,32635,193,1,3600.04,1979.672,9.472,0.6666666666666647,3.374089716665742e7,2.9629165131295957e7,3.3740897166657425e7
23,30613,140,1,3600.003,3600.029,9.765,3.200000000000003,3.2315463660390563e7,2.9935679225092787e7,3.544674838388175e7
24,30862,136,1,3600.047,3600.047,10.149,2.4375000000000058,4.206815019816933e7,3.621858659343031e7,4.206815019816934e7
25,s,207,1,i,3600.029,10.745,2.1428571428571423,a,3.3809119190360665e7,4.0668833470124796e7
26,33104,198,1,3600.035,3600.035,9.313,0.44444444444444287,2.992128791375763e7,2.5581692000198636e7,2.9921287913757637e7
27,38550,150,1,3600.003,3600.028,9.104,1.6923076923076934,3.8611328912869215e7,3.2156980732886586e7,3.8611328912869215e7
28,s,123,1,i,3600.026,9.056,6.100000000000001,a,4.082858560112513e7,5.157959541850291e7
29,36746,150,1,3600.031,3600.023,8.887,1.1111111111111107,3.579682188602738e7,3.1353190938255057e7,3.579682188602739e7
3,37016,160,1,3600.076,2797.643,8.069,2.0,3.1978162900755607e7,2.902439474733484e7,3.2235010382947598e7
30,33223,101,1,3600.056,597.123,8.881,0.3000000000000246,2.9938172220137075e7,2.6478751709434915e7,3.0071228599164914e7
31,s,143,1,i,3600.04,11.192,3.250000000425004,a,3.7898305053131804e7,4.671485123420963e7
32,34565,169,1,3600.155,3600.027,10.032,0.44444444444444287,3.819540681918876e7,3.364511563772139e7,3.819540681918876e7
33,29726,178,1,3600.063,3600.055,12.411,1.09090909090909,2.9113886018556565e7,2.5879273106866006e7,2.911388601855658e7
34,34367,155,1,3600.002,2545.029,9.318,0.09090909101818312,3.6916204147615306e7,3.20021869518782e7,3.691620414761531e7
35,36975,145,1,3600.123,1339.815,10.282,0.3636363636363633,2.4194634967660252e7,2.259941525607664e7,2.432756398026558e7
36,36032,106,1,3600.025,190.279,11.235,0.09090909090908639,2.109326446563558e7,2.040170101952235e7,2.1439046188692193e7
37,34868,134,1,3600.154,509.259,9.347,0.11111111111111072,3.230219504657585e7,2.858936685896628e7,3.2302195046575863e7
38,s,123,1,i,3600.036,11.287,2.700000000000003,a,3.595733473274594e7,4.228069591295288e7
39,44070,121,1,3600.001,155.768,9.435,7.108995042415245e-6,1.9526600831869375e7,1.841860399807056e7,2.0260390698314495e7
