o_bb,o_box,o_pb
1.2346889169491235e7,1.5299765685131075e7,1.7988155900253296e7
3797.2545907925833,3797.2545907925833,3797.2545890808105
9.501953780656021e6,9.241281336581534e6,1.286124544374362e7
1.1924184685928345e7,1.0437021922153473e7,1.1924184685932314e7
4.983751163598623e6,5.312626062100439e6,6.308254005203323e6
1.4937812792178603e7,1.4996389804069519e7,1.8656744678857803e7
1.7512641942705154e7,1.476437787324524e7,1.7512641942705154e7
8.475563949512482e6,8.475563950357437e6,8.475563950359344e6
5.794629180444717e6,5.876594153522491e6,5.8765941541118715e6
6.227539975748062e6,6.3520191679439545e6,6.352019168095241e6
9.858382932842255e6,1.1383049745054245e7,1.3260322878194315e7
1.0014036490469282e7,1.1834079991888046e7,1.2286176419784646e7
3.2310401684340513e6,3.231040168434052e6,3.4615090812266916e6
1.0732323591087341e7,1.1134663550926803e7,1.330226822696478e7
8.267684598205566e6,8.142514163230896e6,8.267684597379684e6
8.223930293196943e6,8.999419157492878e6,1.1078261574314736e7
4117.88681602478,4117.886812210083,4117.886812210083
3.704134184076309e6,3.704134184074402e6,3.704134183705555e6
9.624466007976193e6,9.946547753074536e6,1.7315547819742203e7
7.399275168249784e6,7.792150325449829e6,8.968177859990263e6
9.684137830505371e6,1.02703160013895e7,1.120832344320795e7
1.83750956951828e7,1.7040118153741837e7,2.6834900746709824e7
1.3059148402679443e7,1.1400160300559998e7,1.4933783437866211e7
1.802489763805771e7,1.9033657013101578e7,2.767473624189186e7
3.534453482370395e6,3.763867644545933e6,3.763867644545939e6
8.043307277240753e6,8.884371497680664e6,9.205423769712456e6
1.530094314948082e7,1.4567691484960556e7,1.894275485735736e7
8.243964736856459e6,9.668866602346621e6,1.1237326671617508e7
1.2093536534322739e7,1.5815187421640396e7,1.655061773905754e7
1.25068363110466e7,1.2235947257963182e7,1.389157330192847e7
7247.621389409529,7247.6213927567005,7247.621391296387
1.177071585231781e7,1.3222174817922592e7,1.5886539949930191e7
1.446193194125557e7,1.1818791822843552e7,1.6271581468723297e7
1.9915381719423916e7,1.4038824258771898e7,1.9915381719421387e7
9.07699108669281e6,9.657356099903107e6,9.784329681686401e6
1.2799929177387238e7,1.2526137701875687e7,1.8659679449365616e7
1.1734329735052109e7,1.3493258308988571e7,1.883583811629784e7
5.965763343313217e6,5.677322021284791e6,6.4333977085120985e6
1.729688345784378e7,1.3833115788541794e7,1.729688345784378e7
2025.3106632232666,2025.3106632232666,2025.3106699883938
1.7029134427028656e7,1.722725812263298e7,1.8888119845953275e7
7.332574072784121e6,5.658437140462875e6,8.638479046312623e6
1.3848928337366104e7,1.6891989766189575e7,1.7986626297793128e7
8.088185250989374e6,7.7946878975105025e6,9.303220967258453e6
3.1563393970069885e6,2.6904409805603027e6,3.1563393970069885e6
2.535611279039383e6,2.5356112792930603e6,2.535611279039383e6
1.4969160781869888e7,1.7927290556287766e7,3.145526006952095e7
8.033897440929772e6,7.696791523047134e6,8.033897440929772e6
1.162021036393547e7,1.1115131282970428e7,1.4319763566066742e7
1.824053153987503e7,1.8221266139677048e7,2.5231684680196937e7
