instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k
28,26489,61,1,3600.15,3600.058,11.011,10.7,1.0e20,1.4785434057868185e7,2.5745027317760058e7,4,15,0.1,3
29,27588,61,1,3600.001,3600.067,11.118,10.0,2.0144077371208884e7,1.850740806768214e7,3.0215748647092707e7,4,15,0.1,3
2,30192,77,1,3600.127,3600.067,10.015,6.100000000000001,1.6534007545271218e7,1.1209772764220312e7,1.653400754527122e7,4,15,0.1,3
30,30442,76,1,3600.213,3600.025,9.429,6.111111111111114,1.8856032006306e7,1.282681771255263e7,1.8856032006306e7,4,15,0.1,3
31,31893,83,1,3600.162,3600.042,8.944,7.0,2.7648161193440635e7,1.7554948042382307e7,2.764816119344063e7,4,15,0.1,3
32,31569,75,1,3600.18,3600.04,9.094,7.0,1.0e20,1.4761851854006287e7,2.340764645869537e7,4,15,0.1,3
33,30337,73,1,3600.151,3600.048,10.278,7.000000000800014,1.0e20,1.7582493073218066e7,2.878150150650062e7,4,15,0.1,3
34,28481,81,1,3600.064,3600.057,10.924,4.777777777777779,1.504793380503527e7,1.01866264835329e7,1.5047933805035273e7,4,15,0.1,3
35,28334,62,1,3600.207,3600.037,10.033,10.0,1.0e20,1.9446240876512546e7,3.191136101062399e7,4,15,0.1,3
36,28865,83,1,3600.201,3600.041,10.442,4.899999999999999,1.6498215224322101e7,1.1652956738837188e7,1.64982152243221e7,4,15,0.1,3
37,31188,79,1,3600.016,3600.034,10.28,8.142857142857142,2.3777136852275252e7,1.4875368195852041e7,2.3777136852275256e7,4,15,0.1,3
38,31957,72,1,3600.076,3600.04,9.074,8.0,1.0e20,1.5897071789907614e7,2.5188591276747555e7,4,15,0.1,3
39,29438,74,1,3600.075,3600.061,9.109,7.0,2.073595127362171e7,1.3747945946361208e7,2.0735951273621704e7,4,15,0.1,3
3,28533,64,1,3600.089,3600.052,11.098,12.75,1.0e20,1.817149168089175e7,2.9746123918588936e7,4,15,0.1,3
40,33642,93,1,3600.054,3600.094,9.693,5.0,1.281992487516427e7,1.0208589812042633e7,1.2938621968641749e7,4,15,0.1,3
41,31427,71,1,3600.085,3600.035,9.45,8.285714285714288,2.7252823941388316e7,1.7763417993905045e7,2.725282394138832e7,4,15,0.1,3
42,29680,81,1,3600.086,3600.174,10.167,7.0,2.448559323216926e7,1.6163189934433859e7,2.4485593232169252e7,4,15,0.1,3
43,28772,83,1,3600.11,3600.034,10.047,8.0,2.9538757957636148e7,1.8078457695257638e7,2.953875795763614e7,4,15,0.1,3
44,31856,84,1,3600.124,3600.036,10.173,7.0,1.9924065573182486e7,1.457333863849762e7,1.9924065573182486e7,4,15,0.1,3
45,31367,79,1,3600.147,3600.042,9.551,5.666666666666675,1.9779804941836603e7,1.1850800969555585e7,1.9779804941836603e7,4,15,0.1,3
46,26847,91,1,3600.028,3600.056,9.047,6.0,1.770216165497046e7,1.1696622351608604e7,1.7702161654970456e7,4,15,0.1,3
47,30737,80,1,3600.041,3600.057,9.499,7.857142857142858,2.502309563549241e7,1.5750955878614673e7,2.5023095635492407e7,4,15,0.1,3
48,29048,77,1,3600.077,3600.045,11.094,6.777777777777779,1.0e20,1.8438754714571036e7,2.8681813747033477e7,4,15,0.1,3
49,29142,67,1,3600.115,3600.038,9.831,7.888888888888886,1.0e20,1.5598136849259235e7,2.6387892003404636e7,4,15,0.1,3
4,25245,71,1,3600.127,3600.056,10.372,11.250000000000014,1.0e20,1.798463125347241e7,3.025155404959948e7,4,15,0.1,3
50,29411,77,1,3600.009,3600.054,10.215,7.125,2.511804342779971e7,1.7379068890137084e7,2.5118043427799705e7,4,15,0.1,3
5,32688,76,1,3600.1,3600.039,9.031,9.428571428571429,2.3953345010687765e7,1.5697787765680602e7,2.395334501068777e7,4,15,0.1,3
6,32938,75,1,3600.065,3600.044,9.014,8.333333333333332,2.7509778545525827e7,1.83003100880675e7,2.7509778545525823e7,4,15,0.1,3
7,29096,60,1,3600.075,3600.058,8.926,7.57142857142857,1.7845034406448156e7,1.1566752647178901e7,1.7845034406448152e7,4,15,0.1,3
8,24505,71,1,3600.211,3600.085,12.956,6.333333333333332,1.8889502087094277e7,1.3043043046101023e7,1.8889502087094273e7,4,15,0.1,3
9,30122,77,1,3600.127,3600.051,9.263,6.625,1.0e20,1.898567416741875e7,3.3337186985151194e7,4,15,0.1,3
10,26314,45,1,3600.181,3600.062,10.692,9.636363636363637,1.0e20,1.2935728712786803e7,2.599684386280309e7,4,15,0.1,4
11,25525,52,1,3600.091,3600.069,9.643,10.375,2.83558401839947e7,1.3663265939402562e7,2.8355840183994703e7,4,15,0.1,4
12,22857,55,1,3600.215,3600.06,11.555,8.0,1.4475224046683043e7,7.190453585453077e6,1.4475224046683045e7,4,15,0.1,4
13,26282,67,1,3600.062,3600.04,10.284,6.571428571428572,1.9385874796476655e7,9.754380384828418e6,1.9385874796476662e7,4,15,0.1,4
14,24696,58,1,3600.185,3600.103,10.874,6.333333333333267,1.0e20,9.749340574947607e6,2.0617483706127003e7,4,15,0.1,4
15,25548,50,1,3600.116,3600.053,9.991,10.500000000000007,2.2634320738637585e7,1.1371941632189877e7,2.2634320738637585e7,4,15,0.1,4
16,25481,50,1,3600.009,3600.051,9.418,10.999999999999998,1.0e20,1.3224602675383214e7,2.5739635466153074e7,4,15,0.1,4
17,24389,45,1,3600.042,3600.025,11.089,11.0,1.0e20,1.0152447637954535e7,2.1996133670677073e7,4,15,0.1,4
18,23270,42,1,3600.215,3600.055,10.196,10.272727272727272,1.0e20,1.5175802830861757e7,3.2835757780675057e7,4,15,0.1,4
19,27237,44,1,3600.033,3600.038,9.617,10.8,1.9879581681345098e7,9.940175896074837e6,1.98795816813451e7,4,15,0.1,4
1,24318,50,1,3600.224,3600.072,10.145,10.75,1.0e20,1.1811606046883466e7,2.4409793810916632e7,4,15,0.1,4
20,25085,50,1,3600.159,3600.036,10.257,10.5,1.0e20,1.4746881242094701e7,3.1348776007204413e7,4,15,0.1,4
21,23676,49,1,3600.097,3600.047,10.553,11.500000001250001,1.0e20,1.4262284651077392e7,3.0900317830647126e7,4,15,0.1,4
22,25123,43,1,3600.168,3600.053,9.617,11.375,1.0e20,1.305767992128333e7,2.8066699103712533e7,4,15,0.1,4
23,25511,46,1,3600.078,3600.069,10.364,11.81818181946364,1.0e20,1.3080600848035263e7,3.0011319913532346e7,4,15,0.1,4
24,21004,34,1,3600.168,3600.026,10.243,8.777777777777779,1.0e20,8.237460665349769e6,1.7319269569752034e7,4,15,0.1,4
25,24055,42,1,3600.144,3600.028,10.245,12.166666666666668,1.0e20,1.5576326980971454e7,3.705442237288461e7,4,15,0.1,4
26,25027,43,1,3600.063,3600.031,9.992,13.444444444444445,3.330554630974638e7,1.4524639125439564e7,3.330554630974638e7,4,15,0.1,4
27,22083,48,1,3600.087,3600.042,10.18,10.000000001100005,1.0e20,1.237210402679585e7,2.6289003736442175e7,4,15,0.1,4
28,23516,42,1,3600.014,3600.055,10.048,11.222222222222221,1.0e20,1.1580305593686782e7,2.5745027317760058e7,4,15,0.1,4
29,24350,45,1,3600.177,3600.061,10.354,12.625,1.0e20,1.3849238215201719e7,3.0215748647092707e7,4,15,0.1,4
2,24799,43,1,3600.059,3600.051,9.888,8.5,1.0e20,7.940552933683771e6,1.653400754527122e7,4,15,0.1,4
30,25656,48,1,3600.046,3600.031,10.182,8.222222222222221,1.8856032006306004e7,9.100157974519921e6,1.8856032006306e7,4,15,0.1,4
31,24773,50,1,3600.018,3600.028,10.079,7.999999999999992,1.0e20,1.3604992876518764e7,2.764816119344063e7,4,15,0.1,4
32,21305,57,1,3600.11,3600.071,14.553,9.666666666666666,1.0e20,1.0544784013340905e7,2.340764645869537e7,4,15,0.1,4
33,22455,53,1,3600.149,3600.094,10.656,10.100000000000001,1.0e20,1.276594620489679e7,2.878150150650062e7,4,15,0.1,4
34,28065,50,1,3600.012,3600.028,9.488,6.777777777777779,1.0e20,7.2935473149646465e6,1.5047933805035273e7,4,15,0.1,4
35,25800,42,1,3600.042,3600.051,9.328,12.333333333333332,1.0e20,1.5083658088084433e7,3.191136101062399e7,4,15,0.1,4
36,25833,49,1,3600.194,3600.047,9.862,7.0,1.6498215224322101e7,8.88417903672457e6,1.64982152243221e7,4,15,0.1,4
37,26514,51,1,3600.178,3600.028,9.654,11.333333333333334,1.0e20,1.0706321829762446e7,2.3777136852275256e7,4,15,0.1,4
38,26798,58,1,3600.178,3600.027,9.332,10.0,1.0e20,1.1755294114984259e7,2.5188591276747555e7,4,15,0.1,4
39,23611,46,1,3600.137,3600.06,10.774,9.444444445488891,2.073595127362171e7,1.0998572962524962e7,2.0735951273621704e7,4,15,0.1,4
3,24506,52,1,3600.192,3600.056,10.864,13.0,1.0e20,1.3566533582127444e7,2.9746123918588936e7,4,15,0.1,4
40,25199,57,1,3600.033,3600.065,10.649,6.0,1.2938621968641743e7,7.953343983285375e6,1.2938621968641749e7,4,15,0.1,4
41,24774,51,1,3600.269,3600.058,9.393,9.399999999999999,2.7252823941388316e7,1.3505387967348026e7,2.725282394138832e7,4,15,0.1,4
42,24694,52,1,3600.077,3600.045,9.328,10.333333333333334,1.0e20,1.170047576063148e7,2.4485593232169252e7,4,15,0.1,4
43,24038,48,1,3600.037,3600.04,9.924,12.000000000000002,1.0e20,1.3352151453300986e7,2.953875795763614e7,4,15,0.1,4
44,25388,51,1,3600.103,3600.077,10.518,10.166666666666666,1.9924065573182486e7,1.1385941923172707e7,1.9924065573182486e7,4,15,0.1,4
45,25461,48,1,3600.003,3600.042,9.848,10.555555555555555,1.9779804941836607e7,9.062687085206997e6,1.9779804941836603e7,4,15,0.1,4
46,24407,53,1,3600.013,3600.046,9.929,10.0,1.770216165497046e7,9.062750072471479e6,1.7702161654970456e7,4,15,0.1,4
47,24552,56,1,3600.255,3600.072,10.557,11.0,2.5023095635492414e7,1.1305473835382156e7,2.5023095635492407e7,4,15,0.1,4
48,24305,55,1,3600.172,3600.068,10.489,11.416666666666666,1.0e20,1.3738956746708028e7,2.8681813747033477e7,4,15,0.1,4
49,25495,48,1,3600.2,3600.053,9.567,10.181818181818182,1.0e20,1.1752284846723283e7,2.6387892003404636e7,4,15,0.1,4
4,24473,45,1,3600.07,3600.048,10.048,11.888888888888879,1.0e20,1.7865572156583484e7,3.025155404959948e7,4,15,0.1,4
50,27095,53,1,3600.108,3600.027,9.286,11.857142857142852,2.511804342779971e7,1.303437916684367e7,2.5118043427799705e7,4,15,0.1,4
5,24745,50,1,3600.051,3600.058,10.192,10.454545454545455,1.0e20,1.2442135961575259e7,2.395334501068777e7,4,15,0.1,4
6,25512,45,1,3600.14,3600.078,9.631,10.28571428571428,1.0e20,1.3516309015997099e7,2.7509778545525823e7,4,15,0.1,4
7,27196,44,1,3600.193,3600.036,9.887,10.0,1.7845034406448156e7,8.482704273862166e6,1.7845034406448152e7,4,15,0.1,4
8,23977,42,1,3600.06,3600.078,10.681,10.0,1.0e20,9.332771296374982e6,1.8889502087094273e7,4,15,0.1,4
9,21135,48,1,3600.173,3600.041,10.785,9.5,1.0e20,1.4013501959253408e7,3.3337186985151194e7,4,15,0.1,4
10,20976,30,1,3600.151,3600.071,10.588,11.384615385853834,1.0e20,9.511845090056097e6,2.599684386280309e7,4,15,0.1,5
11,21655,31,1,3600.237,3600.053,11.005,13.0,1.0e20,1.0183188139814835e7,2.8355840183994703e7,4,15,0.1,5
12,21709,36,1,3600.266,3600.104,10.319,10.0,1.4475224046683043e7,5.5607972635343075e6,1.4475224046683045e7,4,15,0.1,5
13,21463,36,1,3600.111,3600.03,10.331,7.999999999999998,1.938587479647666e7,7.560370608542504e6,1.9385874796476662e7,4,15,0.1,5
14,21208,33,1,3600.175,3600.072,10.749,8.0,1.0e20,7.172256226488976e6,2.0617483706127003e7,4,15,0.1,5
15,23343,38,1,3600.213,3600.043,9.088,10.857145963399566,2.263432073863759e7,8.966893901121687e6,2.2634320738637585e7,4,15,0.1,5
16,21572,36,1,3600.01,3600.09,9.075,11.0,1.0e20,1.0509312078844134e7,2.5739635466153074e7,4,15,0.1,5
17,22004,37,1,3600.105,3600.037,10.01,12.909090909090907,1.0e20,8.105279105307264e6,2.1996133670677073e7,4,15,0.1,5
