instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
10,10,9,1,0.313,2.179,9.832,3.0,1.756741265914151e7,1.756741265914151e7,1.756741265914151e7,4,10,0.1,1,4.574024917678833e6,4.574024917678833e6,4.574024917678833e6
11,9,8,1,0.26,1.987,8.886,2.0,1.6533743785511628e7,1.6533743785511628e7,1.6533743785511628e7,4,10,0.1,1,5.131551013943419e6,5.131551013943419e6,5.131551013943419e6
12,11,10,1,0.28,1.968,8.813,2.3333333333333357,1.6025932037764832e7,1.6025932037764832e7,1.6025932037764836e7,4,10,0.1,1,3.8618735045284852e6,3.8618735045284852e6,3.8618735045284852e6
13,11,10,1,0.308,2.2,9.62,2.500000000000001,2.962301751604289e7,2.962301751604289e7,2.9623017516042884e7,4,10,0.1,1,7.976146495037309e6,7.976146495037309e6,7.976146495037309e6
14,9,8,1,0.298,2.276,9.806,3.0,1.4661695188658902e7,1.4661695188658902e7,1.4661695188658902e7,4,10,0.1,1,4.921040385207545e6,4.921040385207545e6,4.921040385207545e6
15,10,8,1,0.268,2.041,9.039,4.0,1.7865683877650615e7,1.7865683877650615e7,1.7865683877650615e7,4,10,0.1,1,4.956499550204299e6,4.956499550204299e6,4.956499550204299e6
16,10,8,1,0.261,2.006,9.017,3.0,1.500166508560235e7,1.500166508560235e7,1.5001665085602349e7,4,10,0.1,1,4.474443229864167e6,4.474443229864167e6,4.474443229864167e6
17,8,7,1,0.288,2.252,9.843,5.0,1.6215869989027029e7,1.6215869989027029e7,1.6215869989027029e7,4,10,0.1,1,5.295312860383987e6,5.295312860383987e6,5.295312860383987e6
18,10,9,1,0.305,2.094,9.254,1.0000000000000353,2.0990916210985005e7,2.0990916210985005e7,2.099091621098501e7,4,10,0.1,1,6.0146057841809485e6,6.0146057841809485e6,6.0146057841809485e6
19,10,9,1,0.269,2.06,9.24,4.0,2.2582865635448687e7,2.2582865635448687e7,2.2582865635448687e7,4,10,0.1,1,5.810687691007482e6,5.810687691007482e6,5.810687691007482e6
1,10,9,1,0.326,2.357,10.438,0.33333333333333215,1.9806027850977555e7,1.9806027850977555e7,1.9806027850977555e7,4,10,0.1,1,5.825554039261955e6,5.825554039261955e6,5.825554039261955e6
20,10,9,1,0.287,2.186,9.747,2.0,1.7930342058261074e7,1.7930342058261074e7,1.7930342058261074e7,4,10,0.1,1,4.743247002869589e6,4.743247002869589e6,4.743247002869589e6
21,9,8,1,0.281,2.159,9.418,2.666666666666668,1.2212813094219891e7,1.2212813094219891e7,1.2212813094219891e7,4,10,0.1,1,3.592268331854863e6,3.592268331854863e6,3.592268331854863e6
22,10,9,1,0.379,2.266,9.841,3.0,1.6721699744981952e7,1.6721699744981952e7,1.6721699744981954e7,4,10,0.1,1,5.145530430393879e6,5.145530430393879e6,5.145530430393879e6
23,11,10,1,0.337,2.358,10.233,1.0,1.9297646799615644e7,1.9297646799615644e7,1.9297646799615644e7,4,10,0.1,1,7.198007135559082e6,7.198007135559082e6,7.198007135559082e6
24,10,9,1,0.297,2.34,10.322,3.0,1.805744058807764e7,1.805744058807764e7,1.805744058807764e7,4,10,0.1,1,6.251408739910126e6,6.251408739910126e6,6.251408739910126e6
25,9,8,1,0.323,2.307,10.124,3.5,2.1517913893711284e7,2.1517913893711284e7,2.151791389371128e7,4,10,0.1,1,6.952385273025798e6,6.952385273025798e6,6.952385273025798e6
26,9,8,1,0.322,2.397,10.373,3.0,1.4531438658219e7,1.4531438658219e7,1.4531438658218998e7,4,10,0.1,1,4.055410737293195e6,4.055410737293195e6,4.055410737293195e6
