instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
26,52208,108,1,1090.99,83.593,12.15,0.33333333333331955,1.205325414004251e7,1.2053254140042508e7,1.4531438658218998e7,4,10,0.1,2,4.055410737293195e6,4.055426372454308e6,4.0554263724535936e6
27,50297,158,1,3600.116,282.765,9.611,1.9998020093225932e-6,1.9481103556507573e7,1.6437271800053682e7,1.9724611256591167e7,4,10,0.1,2,4.505380001366269e6,4.505380001366196e6,4.505380001366195e6
28,54229,136,1,3600.127,293.639,9.631,0.33333333346666905,1.2258252211277083e7,1.0290995237722281e7,1.2485243400533406e7,4,10,0.1,2,3.632587019536972e6,3.6325870195367928e6,3.632587019536972e6
29,54557,94,1,3600.051,49.112,10.224,0.1999999999999993,1.804130897526765e7,1.5163769976780131e7,1.870535300007749e7,4,10,0.1,2,6.199055346497025e6,5.978725780452728e6,5.424994962432658e6
2,41460,180,1,3600.003,1004.441,13.306,0.14285714285714413,2.657549122828725e7,2.2297555068107694e7,2.6834748583927847e7,4,10,0.1,2,8.037804018391189e6,8.037814864459991e6,8.037804018393961e6
30,51118,134,1,3600.051,382.758,9.705,0.4999998830281669,2.0717395096092403e7,1.710938927569799e7,2.0950169665150113e7,4,10,0.1,2,5.703435391869907e6,5.703435391869534e6,5.703435391869362e6
31,70032,96,1,3600.076,136.254,9.796,0.3333333333333357,1.4793308737125538e7,1.3799136815909078e7,1.6669282557233777e7,4,10,0.1,2,5.63026086144514e6,5.024663564945221e6,5.630260861443454e6
32,56990,118,1,3600.057,126.679,10.327,1.666666666666664,1.5352933324313525e7,1.3378611682084253e7,1.6119985430271104e7,4,10,0.1,2,3.618909476577759e6,3.6194672976017e6,3.618909476577759e6
33,48599,153,1,3600.086,525.146,9.644,0.5714285714285711,1.9241388932786e7,1.6100790046403583e7,1.9543517547950372e7,4,10,0.1,2,5.165009558593485e6,5.166652238979526e6,5.1650234066121895e6
34,56587,92,1,3600.023,39.506,9.823,0.6666666666666654,1.5226605519278089e7,1.2884271286207495e7,1.6267712622317923e7,4,10,0.1,2,4.685396100997925e6,4.685396100999832e6,4.685547487098694e6
35,43868,121,1,3600.097,493.413,11.393,1.1428571428571452,2.1489884793280207e7,1.807901628402595e7,2.1830988882965446e7,4,10,0.1,2,6.708707574260712e6,6.708707574262619e6,6.7088799611890055e6
36,33716,92,1,517.41,34.147,10.686,0.6666666666666666,1.096844855649334e7,1.0968448556493342e7,1.3184152778498191e7,4,10,0.1,2,3.8779535543250907e6,3.8780040195655823e6,3.878006856716156e6
37,218225,72,1,3600.001,22.227,12.596,7.999607988917745e-6,1.2781460089611124e7,1.278122609689924e7,1.5266401285330895e7,4,10,0.1,2,6.509039810548782e6,6.390953068112837e6,6.50904244987089e6
38,45776,105,1,3600.05,124.593,12.215,0.6666666666666702,1.603770943541563e7,1.3936254400320424e7,1.6480121008501142e7,4,10,0.1,2,4.756214321737279e6,4.756214322214127e6,4.756214321738248e6
39,74431,119,1,3600.023,65.935,12.019,3.333270029770574e-6,1.2319664296883512e7,1.2101612806381702e7,1.3736888110685756e7,4,10,0.1,2,5.233457038461685e6,5.233471736700058e6,5.2334570384655e6
3,97442,81,1,2525.021,33.499,9.803,0.33333333333333215,1.0048057299837336e7,1.0048057299837334e7,1.2305929476883752e7,4,10,0.1,2,4.742047867549896e6,4.4321606662574895e6,4.742030942527307e6
40,42407,125,1,3600.022,253.763,13.633,0.5714285714285712,2.2138844916100033e7,1.7574461058447395e7,2.2367064108982667e7,4,10,0.1,2,7.532816571608439e6,7.198375549428216e6,7.532816571606738e6
