instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,12,11,1,0.443,2.412,10.755,2.0,2.9284626425450787e7,2.9284626425450787e7,2.928462642545079e7
11,13,12,1,0.452,2.425,10.67,1.8333333333333357,3.144010521002673e7,3.144010521002673e7,3.1440105210026734e7
12,10,9,1,0.361,1.992,9.137,2.0,2.4049352524958894e7,2.4049352524958894e7,2.4049352524958897e7
13,13,12,1,0.47,2.308,10.21,0.4285714287142923,2.816565516468624e7,2.816565516468624e7,2.816565516468624e7
14,13,13,1,0.363,2.048,8.957,1.0,3.2064287819996834e7,3.2064287819996834e7,3.2064287819996834e7
15,15,14,1,0.387,2.025,8.967,1.0,3.469769435123976e7,3.469769435123976e7,3.469769435123977e7
16,11,10,1,0.46,2.411,10.397,1.75,2.655441942684267e7,2.655441942684267e7,2.655441942684267e7
17,12,12,1,0.481,2.609,11.649,0.8333333333333357,2.562637962562578e7,2.562637962562578e7,2.5626379625625774e7
18,13,12,1,0.42,2.142,9.432,2.0,2.6176504737557888e7,2.6176504737557888e7,2.6176504737557884e7
19,15,14,1,0.586,2.924,11.936,0.8333333333333321,4.151599940070301e7,4.151599940070301e7,4.151599940070301e7
1,9,8,1,0.33,2.002,9.121,1.7142857142857117,2.479508412977474e7,2.479508412977474e7,2.4795084129774734e7
20,8,8,1,0.284,2.041,9.298,1.0000000002000036,1.6095330454597943e7,1.6095330454597943e7,1.609533045459794e7
21,14,13,1,0.45,2.481,10.452,0.1999999999999993,3.0676596540613685e7,3.0676596540613685e7,3.067659654061369e7
22,15,14,1,0.496,2.387,10.097,1.0,3.463411766843143e7,3.463411766843143e7,3.463411766843143e7
23,12,12,1,0.398,2.108,9.29,2.0,3.3134166215732228e7,3.3134166215732228e7,3.313416621573223e7
24,12,10,1,0.448,2.609,11.765,0.3999999999999915,3.271594690203217e7,3.271594690203217e7,3.271594690203217e7
25,10,9,1,0.305,2.095,9.471,1.0000000002000036,1.5499087531247888e7,1.5499087531247888e7,1.5499087531247886e7
26,11,10,1,0.357,2.104,9.49,2.0,2.192342234410215e7,2.192342234410215e7,2.192342234410215e7
27,11,10,1,0.358,2.002,9.482,3.2857142857142883,2.953011416025816e7,2.953011416025816e7,2.9530114160258163e7
28,14,12,1,0.406,2.174,10.043,1.6000000000000014,2.866541973025912e7,2.866541973025912e7,2.8665419730259128e7
29,13,11,1,0.468,2.632,11.674,1.1666666666666536,3.6510541707945324e7,3.6510541707945324e7,3.651054170794533e7
2,15,14,1,0.58,2.914,11.537,0.8571428571428577,4.0613822929794274e7,4.0613822929794274e7,4.0613822929794274e7
30,7,8,1,0.387,2.771,12.139,1.0,1.8720541715891752e7,1.8720541715891752e7,1.8720541715891752e7
