o_bb,o_box,o_pb
693796.1921043396,693796.1921730042,693796.1921024323
2.0399654948330869e6,2.0399654948333278e6,2.0399654950389862e6
1.2105209441905975e7,1.2079051386003494e7,1.3799343547479616e7
1.1651399750635147e7,1.1156438915620804e7,1.2027128749347687e7
1.7261523398180008e7,1.9641302137636185e7,2.4805991499801375e7
1.3963505177188873e7,1.336480125025177e7,1.5358618079912417e7
5.055971183475494e6,5.159528039085388e6,5.1595280390815735e6
5.440129222989738e6,5.440129222989976e6,5.440129222989666e6
1.161213362751007e7,9.7630441237827e6,1.26234934565159e7
1.5198351686027527e7,1.519835168602562e7,1.5690398109142303e7
1.2480869125696182e7,1.3727041256240845e7,1.3727041256238759e7
3.557937186991501e7,3.361957919602966e7,3.669919209720421e7
7.312550577894211e6,7.45839553493309e6,7.676004987934113e6
8.644699814889908e6,8.28698581770134e6,1.1992795358402267e7
2.182991234124557e7,1.813366261533928e7,2.789200107413864e7
2.487898092327118e6,2.4878980918331146e6,2.4878980918288436e6
1.4521748185428621e7,1.47541973767082e7,1.6305012414530195e7
9.505217982593536e6,9.99982857380867e6,9.99982857380867e6
1.841491920327568e7,1.8951916393802643e7,2.535075380471155e7
2.4315363125477728e7,1.789892194441358e7,2.530067449186084e7
5784.4279136657715,5784.4279136657715,5784.427911758423
7.183307145496368e6,7.269176522977829e6,7.269176522973376e6
1.1627198795469284e7,1.1416940631959915e7,1.2240814439203871e7
1.0043191673891068e7,9.819224907396317e6,1.0461057645308077e7
1.3439076657434464e7,1.294827821398735e7,1.7988155900253296e7
3797.254590988159,3797.254590988159,3797.2545890808105
1.0128100290434964e7,1.1073382315116514e7,1.286124544374362e7
1.1924184685928345e7,1.192418468593216e7,1.1924184685932314e7
4.780624553099084e6,5.865731154975846e6,6.308254005203323e6
1.7574589339206696e7,1.7574589339206696e7,1.8656744678857803e7
1.2850505893808365e7,1.5623222884939194e7,1.7512641942705154e7
8.475563949512482e6,8.47556394950676e6,8.475563950359344e6
5.814850070392609e6,5.876594153522491e6,5.8765941541118715e6
6.352019168729782e6,6.35201916809082e6,6.352019168095241e6
1.0590204173072815e7,1.0720625206056595e7,1.3260322878194315e7
1.04202282228582e7,1.0619622582854044e7,1.2286176419784646e7
3.461509081917355e6,3.4615090812242106e6,3.4615090812266916e6
1.3302268228292465e7,1.3302268226963565e7,1.330226822696478e7
8.267684597373962e6,8.267684598205566e6,8.267684597379684e6
1.0861144878562927e7,1.0861146009261897e7,1.1078261574314736e7
4117.886812210083,4117.886812210083,4117.886812210083
3.704134183702469e6,3.7041341837062836e6,3.704134183705555e6
1.270419542987442e7,1.5335443748329163e7,1.7315547819742203e7
7.248215004069442e6,7.557328160245895e6,8.968177859990263e6
1.0214511012702942e7,1.041475212025261e7,1.120832344320795e7
2.529801697158432e7,2.1183402566947937e7,2.6834900746709824e7
1.4513341066596985e7,1.4513341065145493e7,1.4933783437866211e7
2.090814967337799e7,2.228232080419159e7,2.767473624189186e7
3.7638676445490923e6,3.7638676445467225e6,3.763867644545939e6
9.205423769708633e6,9.205423769712448e6,9.205423769712456e6
1.8285174732730865e7,1.8285139524757385e7,1.894275485735736e7
1.0433862282276154e7,9.849570115953445e6,1.1237326671617508e7
1.4624231231664658e7,1.217250384664917e7,1.655061773905754e7
1.2729844143235426e7,1.3712367870276567e7,1.389157330192847e7
7247.621391296387,7247.621391296387,7247.621391296387
1.0279896492452621e7,1.4575673368724823e7,1.5886539949930191e7
1.4461931941257477e7,1.3945152983007431e7,1.6271581468723297e7
1.5101137926391602e7,1.704719177631378e7,1.9915381719421387e7
8.177868267427444e6,9.01719969717598e6,9.784329681686401e6
1.4287326207490921e7,1.713206106334114e7,1.8659679449365616e7
1.5960743276931763e7,1.6345445923847198e7,1.883583811629784e7
6.088993119012833e6,6.083652821475983e6,6.4333977085120985e6
1.5638157698524475e7,1.6644751069856644e7,1.729688345784378e7
2025.3106727600098,2025.3106727600098,2025.3106699883938
1.7740590921676636e7,1.5963008236284256e7,1.8888119845953275e7
7.819402877555594e6,7.069066684197232e6,8.638479046312623e6
1.7636342992004395e7,1.763633089972496e7,1.7986626297793128e7
9.067447614758926e6,9.17225447398184e6,9.303220967258453e6
3.1563393970012665e6,3.156339397005081e6,3.1563393970069885e6
2.5356112792949677e6,2.535611279039383e6,2.535611279039383e6
2.39877864311409e7,2.581091230042076e7,3.145526006952095e7
7.065499214332581e6,7.469509313902425e6,8.033897440929772e6
1.242201091254425e7,1.2868960709342957e7,1.4319763566066742e7
2.0694643735120773e7,2.04743616075058e7,2.5231684680196937e7
9.508197248788442e6,8.778881531312002e6,1.1534644814429432e7
1.448478586551857e7,1.4712797651120968e7,1.9112744544382844e7
1.4946027379398346e7,1.5416672390377045e7,1.6447127679273605e7
1.2412842391807556e7,1.1171984891628265e7,1.8903946432828903e7
1.275405621809578e7,1.275405621809578e7,1.3501801021150589e7
7.748603376497269e6,8.46638529677391e6,8.466385296775818e6
5.08367806805943e6,4.903595357013702e6,5.794327448875427e6
1.1843310781381607e7,1.2381932434345245e7,1.339833610232544e7
1.4112806078533173e7,1.4914761129110336e7,1.556500014421463e7
1.1496651643795013e7,1.1496651644945145e7,1.1496651643793594e7
1.7230793847841263e7,1.723079384612274e7,1.7761766171167374e7
2.1527496921377182e7,2.0112173210357666e7,2.418371533995217e7
1.4340098175849915e7,1.4821881523244858e7,1.7399595493896484e7
1.0244421195802689e7,1.1993806467159271e7,1.524561859431076e7
5.9357404226922365e6,5.935733272813797e6,7.03974181097741e6
1.537193494417572e7,1.971115003728485e7,2.0100002312337875e7
1.804795511357689e7,1.8162754872789383e7,1.9257718812692642e7
1.3915446791877002e6,1.3915446790485382e6,1.3915446790480101e6
1.3212879418254852e7,1.2336690970788956e7,1.4490715939422607e7
4.534981756484985e6,5.731882407096863e6,5.944072601104027e6
1.1674875955007553e7,8.783958902597427e6,1.2646638335702896e7
1.6006895886705399e7,1.5612754703430176e7,1.6394997648096794e7
1.222948046615982e7,1.2229478506093979e7,1.4696874924518585e7
6.249507294794083e6,8.043545680680958e6,8.811853017555103e6
2.0169097631869704e7,1.993045076157437e7,2.0526997787440088e7
7.80404692209816e6,7.80404692209816e6,7.80404692209816e6
1.112729710602951e7,1.0100255004358292e7,1.190153145475579e7
9.705419803806305e6,1.0815535193069458e7,1.2187531717653275e7
1.3699260607748032e7,1.1925863906847e7,1.5484791317902965e7
2.197090714067459e6,2.1970907140693665e6,2.1970907140677907e6
8.500621129319876e6,8.500621128464082e6,8.50062112846489e6
1.6648933701236725e7,1.7143611719187338e7,2.220787220079422e7
2.7195516293661118e7,2.7237730873905182e7,2.850424815386067e7
2.1309662209091187e6,2.1309662209129333e6,2.130966220911026e6
2.428397445175171e6,2.4283974454193115e6,2.4283974451789856e6
1.2714462440153122e7,1.8248519010450363e7,1.9875428477340758e7
9.467066403477548e6,9.196098838002203e6,9.614446845491963e6
1.1172518221989308e7,1.1172518223106384e7,1.199553881891479e7
4090.7818088531494,4090.7818088531494,4090.781801801175
1.7246467586021423e7,1.9502667522665024e7,2.4913991478658676e7
2.2807339955575943e7,2.6424770463377e7,2.9084268582078934e7
1.8345663932296753e7,1.7927140546072006e7,2.145950894326465e7
4.731305993376236e6,4.731305993849173e6,5.1424971292709885e6
1.1267113920583725e7,1.377516348789215e7,1.703372885581007e7
2.1431748224313736e7,2.743115991070366e7,2.831419441547697e7
1.2397416153108597e7,1.2397416153108597e7,1.5792170583776474e7
8.244748131715775e6,8.244748131715775e6,8.244748131715775e6
8.791464245189667e6,8.626181626483917e6,8.791464245186895e6
1.6889503655431747e7,1.823924058070755e7,1.8855324232265472e7
1.2090147301286697e7,1.2011901104066849e7,1.2974658412687302e7
6.607029885461807e6,6.60702988612175e6,6.607029885461807e6
1.5529244559398837e7,1.4279443633821487e7,1.5648912519390106e7
8.540786972499847e6,9.101434985622406e6,1.0835876304859275e7
2.81361050863266e6,2.81361050863266e6,2.8136105086298436e6
1.3037767303750992e7,1.3236143677988052e7,1.4482977615249634e7
1.900780795938492e7,1.999060560570717e7,2.2185461582061768e7
1.862035497856903e7,1.8620346698558807e7,1.9644344895988464e7
1.479442873072815e7,1.4427264367994308e7,1.7113264816537857e7
1254.9258460998535,1254.9258460998535,1254.925845976919
1.0359109909820557e7,8.820080736388087e6,1.1673701674282953e7
7.968076272380367e6,7.968084882535934e6,8.202373489974976e6
1.209926673038292e7,1.559270572447586e7,1.757396826543808e7
1.7192539469575882e7,1.7918697266260147e7,1.8711602082784653e7
7.80482379019165e6,7.804823790193558e6,7.804823790193558e6
1.5790045541696548e7,1.579004554170227e7,1.6304383713132858e7
2.095909817579651e7,1.691434354004097e7,2.145498638616562e7
2.6001114697475433e6,2.6001114697551727e6,2.6001114697545283e6
9.628375857494354e6,1.216668494545104e7,1.2166683570293427e7
1.2468872019897461e7,1.2468872019897461e7,1.2724836348890305e7
1.5368087609661102e7,1.3159146926704407e7,1.6313547891637089e7
1.579864280809784e7,1.8183878256980896e7,1.8820969840517044e7
1.7951965974925995e7,1.3416951588277817e7,2.1622119545495987e7
9.12526710423851e6,9.27751253524971e6,1.3653394398794174e7
1.4794206165597916e7,1.6620555565443039e7,1.6620555563779831e7
1.1266028024835587e7,1.4921770662727356e7,1.492177066270256e7
1.0474009894695282e7,1.2486854837291718e7,1.4980858363364814e7
6.208836794691086e6,6.208836794691086e6,6.208836795314804e6
1.188066488522911e7,1.299505021868515e7,1.517952889421463e7
1.068514377265363e7,1.068514377265358e7,1.1972126526252225e7
1.0536551895525602e6,1.0536551895525611e6,1.053655189659117e6
9.319188384908676e6,9.83148510103035e6,1.0549601307783127e7
5.56147728619957e6,4.971760376317978e6,5.56147728619957e6
6.879289415086746e6,6.879289414398193e6,6.879289414399404e6
6.144028257795334e6,6.144028257799149e6,6.144028257797241e6
1.2371541588964136e7,1.4506061638438962e7,1.6734246585456848e7
1.9233005173882745e7,2.498600702414131e7,3.0670048825284958e7
8.639714110143354e6,9.589774561641498e6,1.1396817945512772e7
1.7020906894058228e7,2.1045970341257095e7,2.3995262184473038e7
1.6161983556297302e7,1.6246129404621124e7,2.0786846298488524e7
1.306380926698947e7,1.395082031790924e7,1.534273775214386e7
1.0433862282276154e7,9.849570115953445e6,1.1237326671617508e7
1.27589287497084e7,1.2758928750984196e7,1.3634683402397156e7
9.104733092996888e6,9.857603957761765e6,1.1292043717441559e7
