instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,4,9,1,0.457,2.841,13.739,0.0,6.7651616496322425e6,6.7651616496322425e6,6.765161649632242e6
11,5,7,1,0.263,2.007,9.201,0.0,1.0879274828052478e7,1.0879274828052478e7,1.0879274828052478e7
12,3,2,1,0.274,2.26,9.899,0.0,693796.1921042914,693796.1921042914,693796.1921042914
13,6,6,1,0.313,2.212,9.829,0.0,2.140052389387121e7,2.140041024459426e7,2.1399146097376898e7
14,9,7,1,0.295,2.05,9.53,0.0,1.0559141181643292e7,1.0559141181643292e7,1.0559141181643292e7
1,8,4,1,0.368,2.548,11.902,0.0,1.6271581468720324e7,1.6271581468720324e7,1.6271581468720328e7
2,10,8,1,0.45,2.43,10.876,0.0,4.978585404776525e7,4.978585404776525e7,4.978474331946269e7
3,5,3,1,0.369,2.656,11.635,0.0,1.6553204868300872e7,1.6553204868300872e7,1.6550482717593173e7
4,9,8,1,0.442,2.487,10.837,0.0,2.18939686850078e7,2.18939686850078e7,2.1893968685007796e7
5,8,8,1,0.438,2.975,11.843,0.0,1.9956344063858032e7,1.9956344063858032e7,1.9956344063858036e7
6,3,6,1,0.334,2.698,11.017,0.0,6.705086686206354e6,6.705086686206354e6,6.705086686206355e6
7,6,4,1,0.356,2.678,11.51,0.0,1.2974658412684292e7,1.2974658412684292e7,1.2974658412684295e7
8,6,5,1,0.35,2.534,11.369,0.0,4.978236638401981e6,4.978236638401981e6,4.978236638401981e6
9,6,6,1,0.308,2.348,10.69,0.0,1.5527467148691505e7,1.5527467148691505e7,1.5527467148691501e7
