instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,12,11,1,0.369,2.167,9.755,3.1529393560833253e7,3.1529393560833253e7,3.1529393560833253e7
11,14,13,1,0.457,2.221,9.75,3.43069168442236e7,3.43069168442236e7,3.43069168442236e7
12,18,17,1,0.588,2.342,9.787,4.2557443997490816e7,4.2557443997490816e7,4.255744399749081e7
13,14,11,1,0.409,2.178,9.995,3.0132975358277906e7,3.0132975358277906e7,3.0132975358277902e7
14,14,12,1,0.536,2.405,9.879,3.214728596686583e7,3.214728596686583e7,3.2147285966865826e7
15,15,14,1,0.455,2.323,10.493,3.603919645005062e7,3.603919645005062e7,3.6039196450050615e7
16,10,11,1,0.462,2.751,11.031,2.6343257451726146e7,2.6343257451726146e7,2.6343257451726142e7
17,16,15,1,0.507,2.183,9.624,3.699211939051354e7,3.699211939051354e7,3.699211939051355e7
18,18,18,1,0.609,2.305,9.793,3.388169571975981e7,3.388169571975981e7,3.388169571975981e7
19,13,12,1,0.394,2.221,10.065,3.0558307081048287e7,3.0558307081048287e7,3.055830708104828e7
1,18,17,1,0.896,3.159,12.125,3.802154965672183e7,3.802154965672183e7,3.802154965672184e7
20,16,15,1,0.597,2.276,8.996,3.443816908555472e7,3.443816908555472e7,3.443816908555472e7
21,15,15,1,0.707,3.932,18.472,4.116295929027569e7,4.116295929027569e7,4.116295929027569e7
22,13,13,1,0.694,3.874,18.997,2.285383740147562e7,2.285383740147562e7,2.2853837401475627e7
23,15,13,1,1.104,4.91,21.948,3.5714939207072705e7,3.5714939207072705e7,3.5714939207072705e7
24,19,18,1,0.696,2.4,9.561,3.422068018489677e7,3.422068018489677e7,3.422068018489677e7
25,12,12,1,0.339,1.873,8.696,2.3479168885365956e7,2.3479168885365956e7,2.347916888536596e7
26,15,15,1,0.513,2.346,11.842,2.683219256581069e7,2.683219256581069e7,2.6832192565810695e7
27,16,16,1,0.518,2.205,9.326,4.102686730507045e7,4.102686730507045e7,4.102686730507045e7
28,18,17,1,0.672,2.383,9.586,5.0115598674463645e7,5.0115598674463645e7,5.011559867446363e7
29,11,11,1,0.39,2.213,10.289,2.7021386089335974e7,2.7021386089335974e7,2.7021386089335974e7
2,14,13,1,0.416,2.107,9.504,2.6510354318149246e7,2.6510354318149246e7,2.6510354318149246e7
30,10,10,1,0.353,2.19,9.79,3.0181426469540842e7,3.0181426469540842e7,3.0181426469540834e7
31,17,17,1,0.635,2.479,9.751,3.96766779031746e7,3.96766779031746e7,3.9676677903174594e7
32,15,14,1,0.456,2.177,9.816,3.1242250824206833e7,3.1242250824206833e7,3.1242250824206837e7
33,13,12,1,0.453,2.264,9.984,3.0724301776407894e7,3.0724301776407894e7,3.0724301776407897e7
34,14,13,1,0.545,2.246,9.829,3.12995133037e7,3.12995133037e7,3.1299513303699996e7
35,18,17,1,0.672,2.52,10.417,4.8237063959891394e7,4.8237063959891394e7,4.8237063959891394e7
36,10,13,1,0.351,2.103,9.609,2.6257670327304006e7,2.6257670327304006e7,2.6257670327304006e7
37,8,8,1,0.357,2.14,9.792,2.446280449637301e7,2.446280449637301e7,2.4462804496373005e7
38,15,15,1,0.505,2.319,9.947,3.449035022841368e7,3.449035022841368e7,3.449035022841368e7
39,9,7,1,0.357,2.328,14.399,1.972177369838128e7,1.972177369838128e7,1.9721773698381275e7
3,17,16,1,0.555,2.034,8.638,3.8759130355715655e7,3.8759130355715655e7,3.875913035571566e7
40,17,16,1,0.64,2.86,11.194,3.702973893170463e7,3.702973893170463e7,3.7029738931704625e7
41,15,13,1,0.654,2.906,12.317,3.02081283694394e7,3.02081283694394e7,3.0208128369439404e7
42,8,7,1,0.391,2.721,12.4,2.1435871801913213e7,2.1435871801913213e7,2.143587180191321e7
43,16,16,1,0.617,2.923,12.215,4.289262235331333e7,4.289262235331333e7,4.289262235331333e7
44,20,19,1,0.754,2.286,8.619,5.534366370959462e7,5.534366370959462e7,5.534366370959462e7
45,13,14,1,0.449,2.177,9.533,2.83934441042138e7,2.83934441042138e7,2.839344410421381e7
46,16,14,1,0.558,2.184,9.497,3.3355082323095486e7,3.3355082323095486e7,3.335508232309548e7
47,20,19,1,0.695,2.411,9.638,4.520740293721809e7,4.520740293721809e7,4.52074029372181e7
48,12,10,1,0.4,2.235,10.221,2.4237056379126523e7,2.4237056379126523e7,2.4237056379126523e7
49,15,15,1,0.596,2.416,9.827,2.819190354669616e7,2.819190354669616e7,2.8191903546696153e7
4,16,13,1,0.663,2.966,12.492,2.848289548488076e7,2.848289548488076e7,2.848289548488076e7
50,16,14,1,0.48,2.22,9.85,3.2387721899424117e7,3.2387721899424117e7,3.2387721899424113e7
5,12,12,1,0.463,2.674,11.023,2.4745898361904055e7,2.4745898361904055e7,2.4745898361904055e7
6,14,13,1,0.592,2.56,9.864,3.2515053913435765e7,3.2515053913435765e7,3.2515053913435765e7
7,17,16,1,0.625,2.25,9.309,4.0906641704874374e7,4.0906641704874374e7,4.0906641704874374e7
8,15,14,1,0.491,2.18,9.518,4.044042896537971e7,4.044042896537971e7,4.044042896537971e7
9,17,16,1,0.66,2.5,10.253,4.725021439767642e7,4.725021439767642e7,4.725021439767641e7
