instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,s,67,1,i,3600.065,12.117,a,2.302242659550177e7,3.852658643046284e7
11,s,56,1,i,3600.046,9.926,a,2.020645463219788e7,3.474976555172504e7
12,s,63,1,i,3600.046,9.601,a,2.4020728119406193e7,3.8600054148320496e7
13,s,61,1,i,3600.051,10.104,a,2.367695709932721e7,4.03603456405874e7
14,s,62,1,i,3600.05,13.069,a,2.024848139777492e7,3.0551858121240586e7
15,s,63,1,i,3600.034,8.894,a,2.0506803532914802e7,3.3910277063147716e7
1,26809,67,1,3600.091,3600.061,9.489,2.206761687806326e7,1.6218613501096489e7,2.2067616878063265e7
2,s,59,1,i,3600.055,9.401,a,1.7139735603930064e7,2.6608093266653184e7
3,s,62,1,i,3600.041,18.069,a,3.033745370700747e7,5.6429779848744035e7
4,s,56,1,i,3600.044,11.116,a,2.884951049340557e7,4.79930269230789e7
5,23898,59,1,3600.208,3600.056,12.234,2.7094191393037483e7,1.853265406968036e7,2.7094191393037483e7
6,s,56,1,i,3600.052,11.232,a,2.2929980166860614e7,3.4455609456206724e7
7,25096,58,1,3600.197,3600.039,12.434,3.306540775207836e7,2.2390963072097536e7,3.306540775207836e7
8,24247,66,1,3600.001,3600.07,13.221,2.874479097747805e7,1.9981469158103835e7,2.874479097747806e7
9,s,64,1,i,3600.048,9.184,a,2.0044749984898232e7,3.159139851673015e7
