instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,5,5,1,0.254,2.015,9.082,4.285714285714285,1.2712600716299482e7,1.2712600716299482e7,1.2712600716299482e7
11,7,7,1,0.266,2.085,9.127,1.0,1.908380334851302e7,1.908380334851302e7,1.9083803348513022e7
12,8,6,1,0.261,1.972,8.726,3.000000000400007,2.8035736071745865e7,2.8035736071745865e7,2.8035736071745865e7
13,6,4,1,0.251,2.218,10.423,1.0,7.67692051015732e6,7.67692051015732e6,7.67692051015732e6
14,7,4,1,0.286,2.159,9.552,6.0,1.2767793633666053e7,1.2767793633666053e7,1.2767793633666055e7
15,8,8,1,0.313,2.39,10.232,1.4285714285714235,3.765162740791196e7,3.765162740791196e7,3.765162740791196e7
16,7,6,1,0.28,2.176,9.854,7.0,2.1123909535958488e7,2.1123909535958488e7,2.1123909535958488e7
17,6,4,1,0.328,2.571,11.224,7.0,2.540977315074318e7,2.540977315074318e7,2.540977315074318e7
18,2,1,1,0.25,2.072,9.869,26.0,1254.925843577975,1254.925843577975,1254.9258435779752
19,4,3,1,0.292,2.313,10.259,23.0,1.6713230995741423e7,1.6713230995741423e7,1.6713230995741425e7
1,9,9,1,0.378,2.435,10.795,1.0,2.8137249591677334e7,2.8137249591677334e7,2.8137249591677334e7
20,7,6,1,0.278,2.143,9.122,1.0,2.091968868427465e7,2.091968868427465e7,2.091968868427465e7
21,5,4,1,0.338,2.437,11.129,4.0,1.2752794483976115e7,1.2752794483976115e7,1.2752794483976116e7
22,9,7,1,0.261,1.978,8.927,1.0,2.1023041810518157e7,2.1023041810518157e7,2.102304181051816e7
23,7,5,1,0.35,2.454,10.836,7.0,1.8951082851615556e7,1.8951082851615556e7,1.895108285161556e7
24,5,3,1,0.253,2.112,9.433,11.0,7.7679468697553435e6,7.7679468697553435e6,7.767946869755344e6
25,6,4,1,0.305,2.494,10.798,2.0,2.813610508629837e6,2.813610508629837e6,2.813610508629837e6
26,8,8,1,0.28,2.126,9.325,2.0,2.3509114783669215e7,2.3509114783669215e7,2.350911478366921e7
27,7,5,1,0.269,2.259,9.945,1.0,1.2146132918926075e7,1.2146132918926075e7,1.2146132918926077e7
28,8,5,1,0.278,2.139,9.71,4.0,1.9875428477337115e7,1.9875428477337115e7,1.9875428477337115e7
29,10,8,1,0.308,2.314,9.926,2.0,2.3301710843109682e7,2.3301710843109682e7,2.3301710843109686e7
2,7,7,1,0.324,2.074,8.75,1.0,1.3193476593120072e7,1.3193476593120072e7,1.3193476593120074e7
30,6,5,1,0.272,2.195,9.708,1.0,3.844174291845358e6,3.844174291845358e6,3.8441742918453575e6
31,7,6,1,0.29,2.239,9.801,8.142857142857139,2.4245618250837475e7,2.4245618250837475e7,2.4245618250837483e7
