instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,39269,188,1,3600.09,2486.007,10.299,2.5870036679251157e7,2.2699763582342826e7,2.599684386280309e7
11,36970,134,1,3600.142,755.213,11.608,2.822695263610895e7,2.46181189817463e7,2.8355840183994703e7
12,43654,153,1,3600.112,277.111,10.476,1.4379369990952471e7,1.2941563813857393e7,1.4475224046683045e7
13,34495,112,1,3600.094,208.16,10.46,1.9142042408787206e7,1.6703682703407412e7,1.9385874796476662e7
14,40992,107,1,3600.048,88.74,9.397,2.028135349704668e7,1.6695944382471826e7,2.0617483706127003e7
15,46332,119,1,3600.13,150.934,9.395,2.2196949639270708e7,1.968204917439221e7,2.2634320738637585e7
16,39170,130,1,3600.123,985.908,10.233,2.5621567689007908e7,2.2197662355488475e7,2.5739635466153074e7
17,41499,174,1,3600.073,3600.026,9.296,2.1907083123233497e7,1.8879364510152023e7,2.1996133670677073e7
18,34458,205,1,3600.022,3400.389,9.472,3.283575778067506e7,2.7472282021373946e7,3.2835757780675057e7
19,45726,180,1,3600.001,1571.456,9.837,1.8462061407198034e7,1.747664604961068e7,1.98795816813451e7
1,34474,162,1,3600.007,2368.688,11.963,2.42973082562885e7,2.0810306294104554e7,2.4409793810916632e7
20,37392,240,1,3600.12,3036.571,9.622,3.1002737309317064e7,2.612414944940194e7,3.1348776007204413e7
21,36776,163,1,3600.001,884.883,9.926,3.0650128164713398e7,2.5771219469336435e7,3.0900317830647126e7
22,43598,197,1,3600.003,3600.02,7.54,2.8066699103712533e7,2.4161912209897067e7,2.8066699103712533e7
23,43767,219,1,3600.035,3600.03,8.003,3.0011319913532354e7,2.9894836747169916e7,3.0011319913532346e7
24,40620,128,1,3600.073,677.519,7.886,1.7213666539492477e7,1.5524018013113e7,1.7319269569752034e7
25,41791,176,1,3600.123,3600.029,9.015,3.705442237288461e7,3.0397276362768874e7,3.705442237288461e7
26,34544,182,1,3600.076,3600.029,12.078,3.3305546309746377e7,2.7671242841846455e7,3.330554630974638e7
27,37819,180,1,3600.103,3600.029,10.056,2.628900373644217e7,2.2533616156892538e7,2.6289003736442175e7
28,36394,141,1,3600.001,3600.03,12.012,2.2229690904592372e7,2.1402544157170948e7,2.5745027317760058e7
29,40444,155,1,3600.008,3600.061,9.372,2.782370976781001e7,2.6312948370368294e7,3.0215748647092707e7
2,35692,92,1,3600.04,150.412,12.076,1.6440599836809872e7,1.401199941681485e7,1.653400754527122e7
30,39442,103,1,3600.047,258.785,12.684,1.775981122562357e7,1.6225102132668165e7,1.8856032006306e7
31,36879,153,1,3600.076,665.111,9.814,2.7538454688155912e7,2.2930710692896232e7,2.764816119344063e7
32,37369,143,1,3600.126,805.816,9.833,2.3302210554448914e7,1.97174186123263e7,2.340764645869537e7
33,35599,189,1,3600.095,3600.042,9.839,2.866108486252798e7,2.3964719700375006e7,2.878150150650062e7
34,38839,112,1,3600.001,205.978,12.539,1.4816442984482922e7,1.3080261830340307e7,1.5047933805035273e7
35,36364,164,1,3600.115,3600.05,12.381,3.1662057982162647e7,2.729926666038174e7,3.191136101062399e7
36,37580,82,1,3600.12,86.844,13.641,1.6267485945729202e7,1.4306287039236275e7,1.64982152243221e7
37,40228,159,1,3600.01,631.391,9.313,2.355177492115112e7,2.0058664988727003e7,2.3777136852275256e7
38,40145,116,1,3600.122,360.013,9.114,2.4855914574774586e7,2.115858555389669e7,2.5188591276747555e7
39,42100,119,1,3600.086,172.055,9.342,2.0392271189822838e7,1.7757390547364816e7,2.0735951273621704e7
3,34022,145,1,3600.146,2231.763,11.94,2.974612391858894e7,2.526560609137298e7,2.9746123918588936e7
40,39094,73,1,910.261,34.553,12.746,1.1751669662661405e7,1.1751669662661407e7,1.2938621968641749e7
41,34396,195,1,3600.049,3093.295,12.696,2.700950522036587e7,2.360305242904586e7,2.725282394138832e7
42,34750,129,1,3600.132,533.824,12.079,2.4244364832091767e7,2.086715675155685e7,2.4485593232169252e7
43,34803,166,1,3600.051,1166.077,13.215,2.9423652552217845e7,2.4458202869852923e7,2.953875795763614e7
44,66320,69,1,3600.01,27.402,9.819,1.8330216144911423e7,1.730559865530852e7,1.9924065573182486e7
45,38176,140,1,3600.167,401.599,11.996,1.9692675815584105e7,1.6033125260105228e7,1.9779804941836603e7
46,36456,119,1,3600.164,324.909,12.925,1.749143908854721e7,1.5384218823937148e7,1.7702161654970456e7
47,36842,138,1,3600.139,602.114,11.829,2.4769064141381934e7,2.1085607719458524e7,2.5023095635492407e7
48,34302,164,1,3600.071,3357.941,12.126,2.856545553915032e7,2.434355234412101e7,2.8681813747033477e7
49,34947,175,1,3600.13,3600.031,11.462,2.6387892003404636e7,2.1900962915619336e7,2.6387892003404636e7
4,34656,159,1,3600.05,3600.03,11.945,3.025155404959948e7,2.5487725952777367e7,3.025155404959948e7
50,42137,158,1,3600.064,816.682,9.348,2.4982271560316052e7,2.280993289822279e7,2.5118043427799705e7
5,35577,133,1,3600.095,1078.292,11.352,2.3720793941027787e7,2.093024050207767e7,2.395334501068777e7
6,37388,141,1,3600.105,874.051,9.663,2.73931222829523e7,2.4041276707556006e7,2.7509778545525823e7
7,41299,129,1,3600.101,566.069,9.358,1.76247442145064e7,1.5752272594869971e7,1.7845034406448152e7
8,41179,119,1,3600.042,444.924,10.26,1.877706988530137e7,1.6753338176387794e7,1.8889502087094273e7
9,35086,230,1,3600.085,3600.034,9.989,3.333718698515119e7,2.6443954242849816e7,3.3337186985151194e7
