instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,26314,45,1,3600.181,3600.062,10.692,9.636363636363637,1.0e20,1.2935728712786803e7,2.599684386280309e7
11,25525,52,1,3600.091,3600.069,9.643,10.375,2.83558401839947e7,1.3663265939402562e7,2.8355840183994703e7
12,22857,55,1,3600.215,3600.06,11.555,8.0,1.4475224046683043e7,7.190453585453077e6,1.4475224046683045e7
13,26282,67,1,3600.062,3600.04,10.284,6.571428571428572,1.9385874796476655e7,9.754380384828418e6,1.9385874796476662e7
14,24696,58,1,3600.185,3600.103,10.874,6.333333333333267,1.0e20,9.749340574947607e6,2.0617483706127003e7
15,25548,50,1,3600.116,3600.053,9.991,10.500000000000007,2.2634320738637585e7,1.1371941632189877e7,2.2634320738637585e7
16,25481,50,1,3600.009,3600.051,9.418,10.999999999999998,1.0e20,1.3224602675383214e7,2.5739635466153074e7
17,24389,45,1,3600.042,3600.025,11.089,11.0,1.0e20,1.0152447637954535e7,2.1996133670677073e7
18,23270,42,1,3600.215,3600.055,10.196,10.272727272727272,1.0e20,1.5175802830861757e7,3.2835757780675057e7
19,27237,44,1,3600.033,3600.038,9.617,10.8,1.9879581681345098e7,9.940175896074837e6,1.98795816813451e7
1,24318,50,1,3600.224,3600.072,10.145,10.75,1.0e20,1.1811606046883466e7,2.4409793810916632e7
20,25085,50,1,3600.159,3600.036,10.257,10.5,1.0e20,1.4746881242094701e7,3.1348776007204413e7
21,23676,49,1,3600.097,3600.047,10.553,11.500000001250001,1.0e20,1.4262284651077392e7,3.0900317830647126e7
22,25123,43,1,3600.168,3600.053,9.617,11.375,1.0e20,1.305767992128333e7,2.8066699103712533e7
23,25511,46,1,3600.078,3600.069,10.364,11.81818181946364,1.0e20,1.3080600848035263e7,3.0011319913532346e7
24,21004,34,1,3600.168,3600.026,10.243,8.777777777777779,1.0e20,8.237460665349769e6,1.7319269569752034e7
