instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb
10,10,8,1,0.384,2.428,10.536,0.6923076923076863,2.5268114827893928e7,2.5268114827893928e7,2.5268114827893924e7
11,8,6,1,0.336,2.345,10.022,1.0,3.751717626057387e7,3.751717626057387e7,3.751431230425426e7
12,6,5,1,0.263,1.951,9.06,2.0,9.606329726708313e6,9.606329726708313e6,9.606329726708312e6
13,7,6,1,0.275,1.98,9.188,1.0,1.9970048339516856e7,1.9970048339516856e7,1.9970048339516863e7
14,6,4,1,0.267,2.068,9.351,2.0,3.7041341837013178e6,3.7041341837013178e6,3.7041341837013173e6
15,9,10,1,0.35,2.351,9.988,1.0,3.7307030435145825e7,3.7307030435145825e7,3.7305759715769686e7
16,4,4,1,0.262,2.059,9.624,6.0,4.6881002680708375e6,4.6881002680708375e6,4.6881002680708375e6
17,5,4,1,0.309,2.245,10.032,10.0,1.5276362464573404e7,1.5276362464573404e7,1.5276362464573402e7
18,6,5,1,0.301,2.207,10.145,2.0,1.9851281774296988e7,1.9851716504505288e7,1.9849512261507194e7
19,4,4,1,0.259,2.08,9.438,2.0,5.288571161267967e6,5.288571161267967e6,5.288571161267968e6
1,4,4,1,0.262,2.09,9.659,2.0,1.5373110924730454e7,1.5373110924730454e7,1.5373110924730452e7
20,6,4,1,0.306,2.231,9.948,2.0,1.3727041256243274e7,1.3727041256243274e7,1.372704125624327e7
21,6,5,1,0.378,2.782,12.815,7.0,1.6502212200638074e7,1.6502212200638074e7,1.6502212200638074e7
22,8,6,1,0.442,2.439,10.419,1.0,1.4647312974069815e7,1.4647312974069815e7,1.4647312974069811e7
23,5,4,1,0.338,2.567,11.907,6.0,6.102449477375533e6,6.102449477375533e6,6.102449477375536e6
24,5,5,1,0.261,2.015,9.213,1.0,8.476433957660431e6,8.47627721946948e6,8.475563949502096e6
25,3,3,1,0.379,2.956,12.894,1.0,3.2794903123941105e6,3.2794903123941105e6,3.279490312394111e6
26,5,3,1,0.282,1.913,9.11,5.0,6.720531235998049e6,6.720531235998049e6,6.720531235998049e6
27,6,5,1,0.313,2.296,10.606,3.0,1.3799343546096552e7,1.3799343546096552e7,1.3799343546096552e7
28,4,2,1,0.246,1.941,9.095,3.000000000400007,677959.9155680364,677959.9155680364,677959.9155680363
29,6,4,1,0.272,1.979,9.188,4.0,2.0564330968636457e7,2.0564330968636457e7,2.0564330968636453e7
2,4,3,1,0.247,1.948,9.121,13.0,1.0534594416818451e7,1.0534594416818451e7,1.0534594416818451e7
30,9,7,1,0.32,2.096,9.511,1.0,2.3169335314629816e7,2.3169335314629816e7,2.3169157259002537e7
31,6,6,1,0.328,2.498,10.7,1.0,1.9979959977742486e7,1.9979959977742486e7,1.9977625121348105e7
32,6,5,1,0.332,2.46,10.621,5.0,1.7986626297797196e7,1.7986626297797196e7,1.7986626297797196e7
33,8,6,1,0.313,2.088,9.541,2.0000000000001905,2.3197913123584364e7,2.3197913123584364e7,2.319791312358436e7
34,8,5,1,0.387,2.608,11.803,1.0000000002000036,1.5484791317909135e7,1.5484791317909135e7,1.5484791317909135e7
35,5,4,1,0.288,2.257,9.963,1.0,9.14362685415505e6,9.14362685415505e6,9.143626854155052e6
36,7,4,1,0.311,2.169,10.311,5.0,1.3260322878196713e7,1.3260322878196713e7,1.3260322878196709e7
37,7,4,1,0.308,2.295,10.016,5.0,1.3260322878196713e7,1.3260322878196713e7,1.3260322878196709e7
38,4,8,1,0.257,2.067,9.475,1.0,2.600111469746904e6,2.600111469746904e6,2.6001114697469044e6
3,7,6,1,0.304,2.046,9.302,4.0,2.0788289171558905e7,2.0788289171558905e7,2.0786846298485186e7
40,7,3,1,0.277,1.956,9.116,8.0,1.940739354789737e7,1.940739354789737e7,1.9407393547897365e7
41,4,5,1,0.267,2.009,9.329,2.0,621614.7959742454,621614.7959742454,621614.7959742452
42,7,5,1,0.283,2.077,9.605,3.0,2.8504248153860286e7,2.8504248153860286e7,2.850424815386029e7
43,7,4,1,0.291,1.989,9.087,11.0,3.4994979542865515e7,3.4994979542865515e7,3.499350659705648e7
44,14,13,1,0.599,2.282,9.468,0.6111111111111143,5.420207656202943e7,5.420207656202943e7,5.4200217020470485e7
45,9,7,1,0.322,2.099,9.188,1.0,2.381895114038682e7,2.3823139052566655e7,2.3818269432296854e7
46,7,6,1,0.305,1.97,9.114,1.0,2.328742473246899e7,2.328742473246899e7,2.3286266801514436e7
47,4,4,1,0.249,1.989,9.199,2.0,6.879289414398801e6,6.879289414398801e6,6.879289414398799e6
48,5,5,1,0.271,2.183,9.99,1.0,1.0650007659897162e6,1.0650007659897162e6,1.0650007659897162e6
49,5,5,1,0.349,2.849,12.59,7.0,8.79148191251725e6,8.79342194320666e6,8.791464245189438e6
4,4,3,1,0.258,2.068,9.577,8.0,1.0884915684736887e7,1.0884915684736887e7,1.0884915684736887e7
50,3,3,1,0.298,2.292,10.505,8.0,2.197090714069855e6,2.197090714069855e6,2.197090714069855e6
5,8,6,1,0.292,2.054,9.198,5.0,2.1883725604763824e7,2.1883725604763824e7,2.188372560476383e7
6,5,5,1,0.264,2.061,9.439,2.0,4.133252230421886e6,4.133252230421886e6,4.133252230421887e6
7,7,7,1,0.283,2.061,9.503,2.0,1.279022073253752e7,1.279022073253752e7,1.2790220732537517e7
8,3,4,1,0.258,2.115,9.678,6.0,5.876594153526428e6,5.876594153526428e6,5.876594153526427e6
9,7,5,1,0.281,2.015,9.166,6.0,2.5350753804721825e7,2.5350753804721825e7,2.535075380472182e7
