instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,28955,111,1,3600.181,3600.059,10.187,2.885027166239655e7,2.2210859670482576e7,2.8850271662396558e7
11,40973,156,1,3600.069,3600.072,11.19,5.443229337661784e6,5.3249790740615595e6,5.561477286201822e6
12,29025,67,1,3600.191,3600.033,10.276,2.982144446543923e7,2.0241131318156414e7,2.982144446543923e7
13,29085,84,1,3600.057,3600.088,10.805,2.503087047397887e7,1.933128352203357e7,2.5030870473978877e7
14,45177,163,1,3600.214,2263.905,9.81,7.476702430119792e6,7.177779381149845e6,7.675971129433091e6
15,26219,63,1,3600.077,3600.04,12.436,1.396195469114791e7,1.0948822215390924e7,1.3961954691147912e7
16,37112,141,1,3600.164,3600.052,9.364,1.5886539949926326e7,1.4800381211841056e7,1.5886539949926328e7
17,31711,127,1,3600.017,3600.053,12.087,1.4238749912689585e7,1.2978857710815204e7,1.4490715939422533e7
18,32258,135,1,3600.049,3600.082,11.144,1.6550617739058532e7,1.5815165162031442e7,1.6550617739058534e7
19,27303,66,1,3600.119,3600.024,9.02,2.502270398225791e7,1.7168880189720675e7,2.502270398225791e7
1,50083,143,1,3600.104,1211.172,9.271,8.671142468633875e6,8.671142468633877e6,8.671142468633877e6
20,30792,71,1,3600.036,3600.035,9.361,2.4584966723867588e7,1.856738700217184e7,2.4584966723867588e7
21,48607,80,1,3600.143,3600.093,12.374,1.6208483904193472e7,1.8106973528007418e7,2.0788654503854606e7
22,87589,46,1,3600.074,48.805,11.339,4.386968176323082e6,4.51221486954984e6,4.512214869549839e6
23,41654,98,1,3600.167,3600.029,9.732,9.162769138844434e6,8.230625895395978e6,9.417203806293665e6
24,48308,101,1,3600.001,368.583,11.973,8.125997562037651e6,8.249054964436609e6,8.249054980134759e6
25,37847,98,1,3600.077,3600.063,10.386,1.4891763130111946e7,1.3377934819826938e7,1.5270185313937979e7
26,34763,77,1,3600.043,3600.032,9.636,2.1486948490503833e7,1.8617279817989126e7,2.2001855314270437e7
27,31756,145,1,3600.176,3600.152,12.698,8.450632091608297e6,8.194699752132398e6,8.578581941330781e6
28,38337,115,1,3600.002,3600.021,7.45,1.788036619401617e7,1.6635768936796945e7,1.7880366194016173e7
29,29735,108,1,3600.128,3600.054,10.284,1.4089349317035193e7,1.2095437298044857e7,1.4089349317035193e7
2,32521,136,1,3600.173,3600.054,12.15,1.4791269529160066e7,1.392859221077967e7,1.479126952916007e7
30,24648,73,1,3600.041,3600.101,14.19,3.042727565821232e7,2.2215187239074197e7,3.0542938962678354e7
31,507,49,1,7.783,61.859,15.769,2.535611279043439e6,2.5356112790434384e6,2.5356112790434393e6
32,36510,78,1,3600.281,3600.072,10.57,1.5617175144758884e7,1.3815613322339233e7,1.5977487509242812e7
33,90441,108,1,3600.091,395.358,11.866,5.5760588224950135e6,5.9475773984384835e6,5.947577398438484e6
34,35316,116,1,3600.174,3600.072,8.79,1.542553683620241e7,1.318753098042001e7,1.5925671739792824e7
35,37231,110,1,3600.19,3600.07,9.062,1.6757503591614675e7,1.4695339132443475e7,1.727305378315765e7
36,35608,88,1,3600.047,507.63,19.055,8.267684597371435e6,8.267684597371435e6,8.267684597371437e6
37,40346,186,1,3600.002,3600.044,9.773,1.270700291410424e7,1.28407369299757e7,1.2974471850335602e7
38,32158,104,1,3600.089,3600.072,9.068,3.5414317296818875e7,2.8042505707903847e7,3.567759017834161e7
39,25407,64,1,3600.008,3600.064,13.245,2.9410805570310377e7,1.9196691626673725e7,2.9409229306655336e7
3,31821,103,1,3600.204,3600.048,9.941,1.991869289078811e7,1.7054803228109047e7,2.004886969363716e7
40,28912,83,1,3600.191,3600.041,10.476,3.786284834470044e7,2.8493152660190873e7,3.7989469827869765e7
41,31937,57,1,3600.09,3600.041,9.215,3.443559635917386e7,2.5024813692084074e7,3.5947978873698905e7
42,34773,101,1,3600.001,3600.048,8.857,1.5878333527223382e7,1.4435682104714772e7,1.7080702566143986e7
43,33923,129,1,3600.159,1944.899,9.563,1.0549601307779914e7,9.95039120920762e6,1.0549601307779916e7
44,45149,62,1,3600.18,42.866,9.891,3.156339397000934e6,3.156339397000715e6,3.1563393970010453e6
45,44988,147,1,3600.028,2107.419,10.72,9.749900584181909e6,9.6249365893674e6,9.99982857381092e6
46,42549,105,1,3600.189,3600.052,9.078,1.275949426975152e7,1.1587907501320463e7,1.3149984724835485e7
47,26353,71,1,3600.218,3600.062,11.965,3.408704589710038e7,2.330506507522835e7,3.408704589710038e7
48,42746,119,1,3600.147,479.155,13.834,7.804046922105566e6,7.669592711078472e6,7.804046922105567e6
49,27486,58,1,3600.035,3600.053,12.829,2.414664208801718e7,1.817263788191124e7,2.4146642088017188e7
4,40960,149,1,3600.167,1730.902,10.459,7.804823790194643e6,7.6964494389855135e6,7.8048237901946455e6
50,141,34,1,1.618,13.341,11.196,2.8699971655278495e6,2.8699970406662547e6,2.86999716552785e6
5,35572,136,1,3600.223,3600.067,12.293,1.1776641422389455e7,1.1025169298204636e7,1.202712874934464e7
6,47532,136,1,3600.002,859.518,10.585,8.115997927719775e6,8.24474800714946e6,8.244748131719329e6
7,28680,66,1,3600.075,3600.051,10.545,3.1125647913578663e7,2.3696994763187133e7,3.1125647913578667e7
8,66781,71,1,3600.046,124.224,9.826,4.212809395017527e6,4.3366033114446085e6,4.336603311444607e6
9,29429,88,1,3600.011,3600.046,9.936,2.976941651669083e7,2.2327810804919217e7,2.976941651669084e7
