instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,15370,71,1,133.393,21.776,8.889,1.5550683842839034e7,1.5550683842839036e7,1.752124441303637e7
11,32,9,1,0.797,3.118,9.154,1.0536551895544804e6,1.0536551895544804e6,1.0536551895544804e6
12,816,30,1,7.772,5.95,8.829,1.1283076883639455e7,1.1283076883639453e7,1.2150685083821252e7
13,198345,51,1,3600.001,12.111,9.1,1.301071692392589e7,1.301071692392589e7,1.3661156775103534e7
14,4244,55,1,32.225,12.765,8.727,1.0277210176806938e7,1.0277210176806882e7,1.1029127725478332e7
15,97562,91,1,3600.021,75.696,8.978,1.4319195047979621e7,1.4129574374001283e7,1.6120591450773854e7
16,54045,83,1,735.58,29.808,9.142,1.7341690761279218e7,1.7341690568069205e7,1.9761127023368686e7
17,18,11,1,0.396,2.654,10.641,1.3915446790480085e6,1.3915446790480088e6,1.3915446790480085e6
18,2594,37,1,18.947,8.057,9.897,1.0633362158581803e7,1.06333621585818e7,1.1237326671617454e7
19,100,22,1,1.483,5.962,10.175,6.199534500632802e6,6.199534500632803e6,6.433397708512966e6
1,644,32,1,4.473,6.234,8.835,6.886000157071415e6,6.886000157071415e6,7.531383763928608e6
20,3426,41,1,36.269,8.41,10.121,9.088254452546358e6,9.088254452546358e6,1.0132674400174737e7
21,1228,36,1,8.536,6.17,9.456,1.1669263811441898e7,1.1669263811441898e7,1.2558272247847315e7
22,42,11,1,0.517,2.532,9.984,2.2425607984763137e6,2.242560798476314e6,2.242560798476314e6
23,16614,56,1,152.795,14.318,8.91,1.1980985396516364e7,1.1980985396516366e7,1.3748288426559601e7
24,3208,37,1,28.741,9.558,8.793,1.3747308989823634e7,1.3747308989823598e7,1.647425783422831e7
25,3014,43,1,29.704,10.546,9.926,1.3982758874447184e7,1.3982756367304994e7,1.6167117530483602e7
26,3166,47,1,22.506,9.359,8.749,1.346206211876197e7,1.3461984129567187e7,1.4277664504477173e7
27,8110,41,1,65.988,14.45,8.843,1.3142678081734508e7,1.314267808173451e7,1.5860939912854098e7
28,326,18,1,3.087,3.514,10.159,5.865731154975848e6,5.86573115497585e6,6.3082540052033225e6
29,49549,129,1,3600.003,134.321,9.652,2.7885977555602077e7,2.3270345014340576e7,2.8825077711831883e7
2,2594,37,1,16.894,6.246,10.074,1.0633362158581803e7,1.06333621585818e7,1.1237326671617454e7
30,1635,28,1,10.521,3.864,7.438,1.1172518221991641e7,1.1172518221991641e7,1.2701093919528967e7
31,9258,49,1,111.506,24.791,9.283,1.132084961343218e7,1.132084961343218e7,1.3416987983328864e7
32,22836,76,1,300.952,46.952,8.894,1.2297681475427615e7,1.2297681475427609e7,1.4038511386836465e7
33,84,14,1,0.861,3.156,11.38,5.777850594124048e6,5.777850594124048e6,5.777850594124049e6
34,104046,91,1,2687.819,115.866,12.407,2.0163565951633643e7,2.0163565942890815e7,2.4152646072875574e7
35,4892,40,1,35.222,7.981,9.791,8.62942517237789e6,8.62942517237789e6,9.492059394657535e6
36,22,9,1,0.366,2.495,9.766,3.461509081230009e6,3.461509081230009e6,3.461509081230009e6
37,2172,29,1,43.14,7.177,8.872,9.627872080422223e6,9.627872080422224e6,1.141003368925572e7
38,516,27,1,4.043,5.956,8.838,1.1078433290393498e7,1.1078433290393498e7,1.1330163304495908e7
39,2296,30,1,15.299,4.526,9.168,9.781117185311712e6,9.781117185311712e6,1.1694462028270382e7
3,10758,39,1,177.621,18.791,8.859,1.6632829830602389e7,1.663282983060239e7,2.039557454298837e7
40,59050,80,1,952.517,31.443,10.069,1.3699883169794478e7,1.3699883152037544e7,1.5069195405918878e7
41,271,19,1,3.354,3.393,8.87,5.389870381141942e6,5.389870381141942e6,6.101119985711251e6
42,2,1,1,0.256,1.92,8.814,210062.67555445136,210062.67555445136,210062.67555445113
43,25858,88,1,244.465,27.309,7.815,1.364527954551096e7,1.3645271471527448e7,1.518965663488846e7
44,414,24,1,5.7,5.28,9.144,8.115034334609458e6,8.115034334609458e6,8.63847904631214e6
45,63480,75,1,1098.37,40.752,9.016,1.698014624218125e7,1.698014624218125e7,1.9770023352461014e7
46,70904,63,1,1528.324,27.928,10.286,1.7527190550945956e7,1.752678195983927e7,2.0082361344249737e7
47,166,24,1,1.192,3.938,9.709,4.902444682743608e6,4.902444682743609e6,5.0045095455366075e6
48,79753,108,1,3600.071,75.933,10.659,2.900913617097736e7,2.697100766049168e7,3.293747078406993e7
49,48502,61,1,895.532,24.687,9.64,1.8167605280499715e7,1.8167605280499715e7,2.1872721338061206e7
4,908,23,1,5.729,5.587,8.868,7.968085211656282e6,7.968085211656282e6,8.202373489974409e6
50,90001,60,1,3600.06,12.828,8.801,2.101373902144014e7,1.8689854084137414e7,2.2853466725793995e7
5,8,16,1,0.291,2.802,8.821,2.0399654948373833e6,2.0399654948373837e6,2.0399654948373837e6
6,20326,88,1,195.11,31.221,8.796,1.808194534179455e7,1.808194534179455e7,2.0518084217506304e7
7,634,30,1,3.608,4.503,8.8,9.114214028456224e6,9.114214028456224e6,9.464700832772734e6
8,16,10,1,0.355,2.279,9.364,2.8387272944952496e6,2.8387272944952496e6,2.83872729449525e6
9,646,18,1,4.154,2.922,9.605,7.6440835500407005e6,7.6440835500407005e6,8.304462229284661e6
