instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,13,14,1,0.443,2.644,10.113,2.5996843862803094e7,2.5996843862803094e7,2.599684386280309e7
11,11,10,1,0.404,2.695,12.039,2.83558401839947e7,2.83558401839947e7,2.8355840183994703e7
12,9,8,1,0.329,2.176,9.126,1.4475224046683045e7,1.4475224046683045e7,1.4475224046683045e7
13,10,9,1,0.486,2.485,10.048,1.9385874796476662e7,1.9385874796476662e7,1.9385874796476662e7
14,13,12,1,0.456,2.337,9.287,2.061748370612701e7,2.061748370612701e7,2.0617483706127003e7
15,8,9,1,0.337,2.448,10.655,2.2634320738637585e7,2.2634320738637585e7,2.2634320738637585e7
16,12,11,1,0.459,2.697,11.842,2.573963546615307e7,2.573963546615307e7,2.5739635466153074e7
17,12,11,1,0.356,2.209,9.564,2.1996133670677073e7,2.1996133670677073e7,2.1996133670677073e7
18,12,11,1,0.546,2.55,10.783,3.2835757780675065e7,3.2835757780675065e7,3.2835757780675057e7
19,12,10,1,0.373,2.096,9.209,1.9879581681345098e7,1.9879581681345098e7,1.98795816813451e7
1,12,11,1,0.428,2.485,10.036,2.4409793810916636e7,2.4409793810916636e7,2.4409793810916632e7
20,13,11,1,0.409,2.436,10.306,3.1348776007204417e7,3.1348776007204417e7,3.1348776007204413e7
21,13,12,1,0.432,2.502,10.374,3.0900317830647126e7,3.0900317830647126e7,3.0900317830647126e7
22,13,12,1,0.409,2.312,9.537,2.806669910371253e7,2.806669910371253e7,2.8066699103712533e7
23,14,13,1,0.535,2.344,9.571,3.0011319913532354e7,3.0011319913532354e7,3.0011319913532346e7
24,11,11,1,0.374,2.39,10.633,1.7319269569752034e7,1.7319269569752034e7,1.7319269569752034e7
25,15,14,1,0.45,2.617,10.619,3.705442237288461e7,3.705442237288461e7,3.705442237288461e7
26,11,10,1,0.479,2.729,11.962,3.330554630974638e7,3.330554630974638e7,3.330554630974638e7
27,14,13,1,0.483,2.649,11.303,2.6289003736442175e7,2.6289003736442175e7,2.6289003736442175e7
28,15,14,1,0.561,3.013,12.67,2.5745027317760058e7,2.5745027317760058e7,2.5745027317760058e7
29,13,13,1,0.433,2.73,11.954,3.0215748647092704e7,3.0215748647092704e7,3.0215748647092707e7
2,13,11,1,0.465,2.857,11.635,1.6534007545271218e7,1.6534007545271218e7,1.653400754527122e7
30,9,8,1,0.367,2.666,11.885,1.8856032006306004e7,1.8856032006306004e7,1.8856032006306e7
31,12,11,1,0.539,2.337,9.173,2.7648161193440635e7,2.7648161193440635e7,2.764816119344063e7
32,10,9,1,0.384,2.483,10.465,2.3407646458695367e7,2.3407646458695367e7,2.340764645869537e7
33,13,13,1,0.436,2.574,10.552,2.8781501506500624e7,2.8781501506500624e7,2.878150150650062e7
34,12,10,1,0.401,2.369,9.938,1.5047933805035273e7,1.5047933805035273e7,1.5047933805035273e7
35,14,12,1,0.393,2.246,9.631,3.191136101062399e7,3.191136101062399e7,3.191136101062399e7
36,11,10,1,0.369,2.269,9.56,1.6498215224322101e7,1.6498215224322101e7,1.64982152243221e7
37,12,11,1,0.415,2.2,9.358,2.3777136852275252e7,2.3777136852275252e7,2.3777136852275256e7
38,12,12,1,0.589,2.79,10.537,2.5188591276747562e7,2.5188591276747562e7,2.5188591276747555e7
39,10,9,1,0.433,2.576,11.25,2.073595127362171e7,2.073595127362171e7,2.0735951273621704e7
3,15,14,1,0.406,2.211,9.437,2.974612391858894e7,2.974612391858894e7,2.9746123918588936e7
40,7,6,1,0.353,2.714,12.458,1.2938621968641745e7,1.2938621968641745e7,1.2938621968641749e7
41,10,9,1,0.399,2.708,12.065,2.7252823941388324e7,2.7252823941388324e7,2.725282394138832e7
42,11,11,1,0.415,2.733,11.893,2.448559323216926e7,2.448559323216926e7,2.4485593232169252e7
43,13,13,1,0.364,2.219,9.615,2.9538757957636148e7,2.9538757957636148e7,2.953875795763614e7
44,8,7,1,0.359,2.681,12.05,1.992406557318249e7,1.992406557318249e7,1.9924065573182486e7
45,12,10,1,0.414,2.56,11.301,1.9779804941836607e7,1.9779804941836607e7,1.9779804941836603e7
46,10,9,1,0.468,2.419,9.858,1.770216165497046e7,1.770216165497046e7,1.7702161654970456e7
47,11,11,1,0.438,2.187,9.204,2.5023095635492414e7,2.5023095635492414e7,2.5023095635492407e7
48,13,12,1,0.463,2.566,10.844,2.8681813747033477e7,2.8681813747033477e7,2.8681813747033477e7
49,15,14,1,0.461,2.545,10.446,2.6387892003404636e7,2.6387892003404636e7,2.6387892003404636e7
4,14,12,1,0.53,2.619,11.428,3.0251554049599487e7,3.0251554049599487e7,3.025155404959948e7
50,11,10,1,0.51,2.702,10.546,2.511804342779971e7,2.511804342779971e7,2.5118043427799705e7
5,11,10,1,0.407,2.159,9.089,2.3953345010687765e7,2.3953345010687765e7,2.395334501068777e7
6,12,11,1,0.422,2.441,10.165,2.7509778545525827e7,2.7509778545525827e7,2.7509778545525823e7
7,10,9,1,0.399,2.206,9.261,1.7845034406448156e7,1.7845034406448156e7,1.7845034406448152e7
8,12,11,1,0.392,2.479,10.989,1.8889502087094277e7,1.8889502087094277e7,1.8889502087094273e7
9,15,14,1,0.46,2.287,9.585,3.3337186985151198e7,3.3337186985151198e7,3.3337186985151194e7
