instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,θ_bb,θ_box,θ_pb
10,s,69,1,i,3600.098,9.789,a,1.7120092137061894e7,2.599684386280309e7
11,30009,72,1,3600.061,3600.049,9.738,2.8355840183994696e7,1.8689324084964056e7,2.8355840183994703e7
12,34388,75,1,3600.184,3600.05,8.815,1.4475224046683043e7,1.0065998412248462e7,1.4475224046683045e7
13,27914,93,1,3600.23,3600.032,11.617,1.9385874796476655e7,1.3411900187170872e7,1.9385874796476662e7
14,26868,87,1,3600.184,3600.046,12.622,2.0617483706127007e7,1.3110499106020382e7,2.0617483706127003e7
15,26020,72,1,3600.243,3600.054,12.638,2.263432073863759e7,1.5308438404234314e7,2.2634320738637585e7
16,26244,65,1,3600.098,3600.064,12.545,2.573963546615307e7,1.6766557326355014e7,2.5739635466153074e7
17,s,66,1,i,3600.053,11.924,a,1.3536389304081613e7,2.1996133670677073e7
18,26026,68,1,3600.066,3600.107,12.062,3.2835757780675065e7,2.0015943255494572e7,3.2835757780675057e7
19,26756,71,1,3600.042,3600.071,10.563,1.9879581681345098e7,1.3107676879718175e7,1.98795816813451e7
1,27217,70,1,3600.031,3600.038,12.001,2.4409793810916636e7,1.5523468786485791e7,2.4409793810916632e7
20,26716,69,1,3600.083,3600.053,12.73,3.1348776007204417e7,1.950626617873715e7,3.1348776007204413e7
21,s,78,1,i,3600.051,12.183,a,1.9141143005815152e7,3.0900317830647126e7
22,s,75,1,i,3600.038,8.805,a,1.7572584562694795e7,2.8066699103712533e7
23,s,64,1,i,3600.041,9.149,a,1.740078027960133e7,3.0011319913532346e7
24,34261,68,1,3600.061,3600.045,8.876,1.731926956975203e7,1.1722346021471787e7,1.7319269569752034e7
25,s,66,1,i,3600.041,12.634,a,2.0976831912214827e7,3.705442237288461e7
26,29413,70,1,3600.001,3600.031,9.652,3.330554630974638e7,1.9407570717511952e7,3.330554630974638e7
27,s,66,1,i,3600.043,9.863,a,1.5685582217064215e7,2.6289003736442175e7
28,s,61,1,i,3600.069,10.473,a,1.4785434057868185e7,2.5745027317760058e7
29,s,60,1,i,3600.057,12.302,a,1.850748194783277e7,3.0215748647092707e7
2,27271,76,1,3600.017,3600.083,12.139,1.6534007545271218e7,1.11165253560252e7,1.653400754527122e7
30,28225,71,1,3600.142,3600.042,8.955,1.8856032006306e7,1.2717234310765188e7,1.8856032006306e7
31,27189,83,1,3600.035,3600.088,8.822,2.7648161193440635e7,1.7554948042382307e7,2.764816119344063e7
32,s,75,1,i,3600.061,14.308,a,1.4761851854006287e7,2.340764645869537e7
33,s,73,1,i,3600.044,8.856,a,1.7462124528164044e7,2.878150150650062e7
34,28751,77,1,3600.032,3600.036,9.745,1.504793380503527e7,1.0070881163159763e7,1.5047933805035273e7
35,s,61,1,i,3600.069,9.416,a,1.944631989128619e7,3.191136101062399e7
36,33788,85,1,3600.104,3600.044,8.933,1.6498215224322101e7,1.1652915436842034e7,1.64982152243221e7
37,29747,80,1,3600.024,3600.039,9.265,2.3777136852275252e7,1.4875440190394899e7,2.3777136852275256e7
38,s,74,1,i,3600.059,12.272,a,1.6120950165648364e7,2.5188591276747555e7
39,23899,71,1,3600.095,3600.078,12.667,2.073595127362171e7,1.3862399331154244e7,2.0735951273621704e7
3,s,65,1,i,3600.077,10.244,a,1.817152695019174e7,2.9746123918588936e7
40,30996,91,1,3600.167,3600.03,9.42,1.281992487516427e7,1.0208591649800757e7,1.2938621968641749e7
41,31656,72,1,3600.178,3600.034,8.854,2.7252823941388316e7,1.800672076281939e7,2.725282394138832e7
42,30195,83,1,3600.076,3600.036,9.837,2.448559323216926e7,1.6404421204444712e7,2.4485593232169252e7
43,30136,84,1,3600.21,3600.057,9.266,2.9538757957636148e7,1.819628158670698e7,2.953875795763614e7
44,29714,87,1,3600.26,3600.059,9.008,1.9924065573182486e7,1.4573323198545465e7,1.9924065573182486e7
45,31167,80,1,3600.177,3600.022,8.75,1.9779804941836603e7,1.1851003116372146e7,1.9779804941836603e7
46,29776,91,1,3600.106,3600.057,9.09,1.770216165497046e7,1.1696619668285636e7,1.7702161654970456e7
47,29628,79,1,3600.005,3600.036,8.924,2.502309563549241e7,1.5623973817791156e7,2.5023095635492407e7
48,s,77,1,i,3600.046,9.075,a,1.7956667500944335e7,2.8681813747033477e7
49,s,67,1,i,3600.045,9.543,a,1.5704876292403428e7,2.6387892003404636e7
4,s,73,1,i,3600.049,13.501,a,1.8103711484264296e7,3.025155404959948e7
50,28051,76,1,3600.132,3600.047,12.574,2.511804342779971e7,1.724336709231932e7,2.5118043427799705e7
5,26487,73,1,3600.151,3600.053,12.227,2.3953345010687765e7,1.569778765326115e7,2.395334501068777e7
6,26219,70,1,3600.24,3600.046,13.334,2.7509778545525827e7,1.7941537281571105e7,2.7509778545525823e7
7,30956,65,1,3600.116,3600.07,8.937,1.7845034406448156e7,1.1676933952908313e7,1.7845034406448152e7
8,29548,80,1,3600.058,3600.039,10.707,1.8889502087094277e7,1.31555928108502e7,1.8889502087094273e7
9,s,72,1,i,3600.066,12.719,a,1.8759657136590417e7,3.3337186985151194e7
